sortie,raw_feature,importance
N_lixi,Jour_Semis,0.6111263110353181
N_lixi,Jours_op_recolte,0.13454400952331577
N_lixi,n_ferti,0.09449916806612273
N_lixi,Jours_semis_F1,0.09185847467288939
N_lixi,Jours_av_PREPA,0.057065746281897374
N_lixi,Jours_F1_F2,0.008913279085298762
N_lixi,has_prepa,0.0019930113351578896
N_lixi,nb_f3,0.0
N_lixi,type_f3_1,0.0
N_lixi,type_f2_2,0.0
N_lixi,type_f2_1,0.0
N_lixi,type_f1_2,0.0
N_lixi,type_f1_1,0.0
N_lixi,prepa_2,0.0
N_lixi,prepa_1,0.0
N_lixi,nb_prepa,0.0
N_lixi,Dose_F1_1,0.0
N_lixi,nb_f2,0.0
N_lixi,nb_f1,0.0
N_lixi,Dose_F1_2,0.0
N_lixi,Jours_F2_F3,0.0
N_lixi,Dose_F3_2,0.0
N_lixi,Dose_F3_1,0.0
N_lixi,Dose_F2_2,0.0
N_lixi,Dose_F2_1,0.0
N_lixi,type_f3_2,0.0
dCorg,n_ferti,0.4408443272649756
dCorg,Jours_op_recolte,0.3572465291092649
dCorg,Jours_semis_F1,0.1739054889873083
dCorg,Jours_F2_F3,0.01565860690896786
dCorg,Jours_F1_F2,0.009608576338306129
dCorg,Jours_av_PREPA,0.0025289541001124027
dCorg,Jour_Semis,0.0001642617448425038
dCorg,has_prepa,4.32555462223591e-05
dCorg,nb_prepa,0.0
dCorg,type_f3_1,0.0
dCorg,type_f2_2,0.0
dCorg,type_f2_1,0.0
dCorg,type_f1_2,0.0
dCorg,type_f1_1,0.0
dCorg,prepa_2,0.0
dCorg,prepa_1,0.0
dCorg,Dose_F1_1,0.0
dCorg,nb_f3,0.0
dCorg,nb_f2,0.0
dCorg,nb_f1,0.0
dCorg,Dose_F1_2,0.0
dCorg,Dose_F3_2,0.0
dCorg,Dose_F3_1,0.0
dCorg,Dose_F2_2,0.0
dCorg,Dose_F2_1,0.0
dCorg,type_f3_2,0.0
rdt,n_ferti,0.6657620486577287
rdt,Jours_semis_F1,0.1605403133432732
rdt,Jours_op_recolte,0.10158450846101995
rdt,Jour_Semis,0.03719403896797745
rdt,Jours_av_PREPA,0.023079371542936135
rdt,Jours_F1_F2,0.00921747590783902
rdt,has_prepa,0.002622243119225538
rdt,nb_f3,0.0
rdt,type_f3_1,0.0
rdt,type_f2_2,0.0
rdt,type_f2_1,0.0
rdt,type_f1_2,0.0
rdt,type_f1_1,0.0
rdt,prepa_2,0.0
rdt,prepa_1,0.0
rdt,nb_prepa,0.0
rdt,Dose_F1_1,0.0
rdt,nb_f2,0.0
rdt,nb_f1,0.0
rdt,Dose_F1_2,0.0
rdt,Jours_F2_F3,0.0
rdt,Dose_F3_2,0.0
rdt,Dose_F3_1,0.0
rdt,Dose_F2_2,0.0
rdt,Dose_F2_1,0.0
rdt,type_f3_2,0.0
