sortie,node,raw_feature,kind,category,threshold,left_rule,right_rule,n_node_train,n_left_train,n_right_train,mean_node_train,mean_left_train,mean_right_train,delta_right_minus_left,impurity_decrease
dCorg,0,n_ferti,categorical,0.0,0.5,n_ferti != 0.0,n_ferti == 0.0,7500,5648,1852,-217.46247253333357,-249.5925644475912,-119.47610151187921,130.11646293571198,3148.3111072638408
dCorg,1,Jours_op_recolte,continuous,,95.49135208129883,Jours_op_recolte <= 95.49,Jours_op_recolte > 95.49,5648,2678,2970,-249.5925644475912,-191.9155175504109,-301.5990060606062,-109.6834885101953,2999.577971869039
dCorg,2,Jours_semis_F1,continuous,,197.01793670654297,Jours_semis_F1 <= 197,Jours_semis_F1 > 197,2678,1731,947,-191.9155175504109,-159.66741767764336,-250.8610939809927,-91.19367630334935,1900.8828357913485
dCorg,18,Jours_op_recolte,continuous,,141.45709991455078,Jours_op_recolte <= 141.5,Jours_op_recolte > 141.5,1003,453,550,-254.8657846460619,-211.1436379690947,-290.8769345454546,-79.73329657635992,1574.4847779075149
dCorg,7,Jours_semis_F1,continuous,,147.12969970703125,Jours_semis_F1 <= 147.1,Jours_semis_F1 > 147.1,261,143,118,-213.29784674329514,-179.90509090909092,-253.76533898305084,-73.86024807395992,1351.3210875842126
dCorg,10,Jours_op_recolte,continuous,,45.29245376586914,Jours_op_recolte <= 45.29,Jours_op_recolte > 45.29,947,444,503,-250.8610939809927,-212.46670270270278,-284.7519681908549,-72.2852654881521,1301.2194851758984
dCorg,11,Jours_F1_F2,continuous,,31.697566986083984,Jours_F1_F2 <= 31.7,Jours_F1_F2 > 31.7,444,322,122,-212.46670270270278,-190.95202484472043,-269.2513442622951,-78.29931941757468,1221.7032704356002
dCorg,17,Jours_semis_F1,continuous,,152.10650634765625,Jours_semis_F1 <= 152.1,Jours_semis_F1 > 152.1,2970,1003,1967,-301.5990060606062,-254.8657846460619,-325.42891001525146,-70.56312536918955,1113.648177801073
dCorg,19,n_ferti,categorical,1.0,0.5,n_ferti != 1.0,n_ferti == 1.0,453,306,147,-211.1436379690947,-232.77968627450977,-166.10533333333336,66.67435294117641,974.450934693354
dCorg,26,Jours_semis_F1,continuous,,189.9732437133789,Jours_semis_F1 <= 190,Jours_semis_F1 > 190,569,229,340,-302.66994727592254,-265.35802620087327,-327.8006235294118,-62.44259732853851,937.6738089328039
dCorg,14,n_ferti,categorical,1.0,0.5,n_ferti != 1.0,n_ferti == 1.0,503,333,170,-284.7519681908549,-305.32637237237196,-244.4503411764705,60.876031195901476,829.181963366757
dCorg,22,n_ferti,categorical,1.0,0.5,n_ferti != 1.0,n_ferti == 1.0,550,374,176,-290.8769345454546,-309.74994652406394,-250.7717840909091,58.978162433154836,756.9049849324219
dCorg,3,Jours_F2_F3,continuous,,31.082907676696777,Jours_F2_F3 <= 31.08,Jours_F2_F3 > 31.08,1731,1470,261,-159.66741767764336,-150.14528027210926,-213.29784674329514,-63.15256647118588,510.6763146811736
dCorg,4,Jours_semis_F1,continuous,,158.09683990478516,Jours_semis_F1 <= 158.1,Jours_semis_F1 > 158.1,1470,898,572,-150.14528027210926,-134.94496436525608,-174.00871328671337,-39.06374892145729,362.73172044403645
