sortie,node,raw_feature,kind,category,threshold,left_rule,right_rule,n_node_train,n_left_train,n_right_train,mean_node_train,mean_left_train,mean_right_train,delta_right_minus_left,impurity_decrease
rdt,0,n_ferti,categorical,0.0,0.5,n_ferti != 0.0,n_ferti == 0.0,7500,5648,1852,4.115135999999989,4.261306657223798,3.6693628509719365,-0.5919438062518618,0.06515895416617182
rdt,2,Jours_semis_F1,continuous,,186.00621032714844,Jours_semis_F1 <= 186,Jours_semis_F1 > 186,1416,819,597,4.076634887005659,3.8672405372405376,4.363894472361807,0.4966539351212691,0.06015053408944613
rdt,19,Jours_semis_F1,continuous,,151.82237243652344,Jours_semis_F1 <= 151.8,Jours_semis_F1 > 151.8,456,179,277,4.194506578947367,3.923882681564244,4.369386281588453,0.4455036000242094,0.047326626701929976
rdt,26,Jours_op_recolte,continuous,,106.17718124389648,Jours_op_recolte <= 106.2,Jours_op_recolte > 106.2,207,84,123,4.320555555555555,4.064285714285715,4.495569105691056,0.43128339140534067,0.04485069471330008
rdt,7,Jours_semis_F1,continuous,,137.67266845703125,Jours_semis_F1 <= 137.7,Jours_semis_F1 > 137.7,252,113,139,4.100039682539682,3.879646017699114,4.279208633093526,0.39956261539441185,0.039487701638260146
rdt,11,n_ferti,categorical,1.0,0.5,n_ferti != 1.0,n_ferti == 1.0,214,147,67,4.265163551401869,4.387244897959185,3.9973134328358197,-0.3899314651233654,0.032699503150076935
rdt,3,n_ferti,categorical,3.0,0.5,n_ferti != 3.0,n_ferti == 3.0,819,567,252,3.8672405372405376,3.7637742504409144,4.100039682539682,0.3362654320987679,0.024086863134146937
rdt,4,Jours_F1_F2,continuous,,36.983089447021484,Jours_F1_F2 <= 36.98,Jours_F1_F2 > 36.98,567,462,105,3.7637742504409144,3.7102922077922047,3.9990952380952374,0.28880303030303267,0.012585447097802228
rdt,1,Jours_op_recolte,continuous,,49.47980308532715,Jours_op_recolte <= 49.48,Jours_op_recolte > 49.48,5648,1416,4232,4.261306657223798,4.076634887005659,4.323096644612461,0.24646175760680222,0.011410866352778715
rdt,32,Jour_Semis,continuous,,271.92645263671875,Jour_Semis <= 271.9,Jour_Semis > 271.9,1852,359,1493,3.6693628509719365,3.858342618384401,3.6239216342933807,-0.2344209840910203,0.008587470559469639
rdt,46,has_prepa,categorical,1.0,0.5,has_prepa != 1.0,has_prepa == 1.0,243,125,118,3.6837448559670802,3.603679999999999,3.768559322033898,0.1648793220338991,0.006790658009566212
rdt,33,Jours_av_PREPA,continuous,,15.604379177093506,Jours_av_PREPA <= 15.6,Jours_av_PREPA > 15.6,359,263,96,3.858342618384401,3.8134600760456268,3.9813020833333344,0.1678420072877076,0.0055187333915252615
rdt,10,Jours_semis_F1,continuous,,208.9952163696289,Jours_semis_F1 <= 209,Jours_semis_F1 > 209,597,214,383,4.363894472361807,4.265163551401869,4.4190600522193195,0.1538965008174502,0.005446548504432418
rdt,44,Jour_Semis,continuous,,309.71543884277344,Jour_Semis <= 309.7,Jour_Semis > 309.7,1493,1155,338,3.6239216342933807,3.587722943722937,3.7476183431952683,0.15989539947233133,0.00447765889006782
rdt,41,Jour_Semis,continuous,,264.60877990722656,Jour_Semis <= 264.6,Jour_Semis > 264.6,96,39,57,3.9813020833333344,4.051666666666667,3.9331578947368415,-0.11850877192982523,0.0033876457705153684
rdt,17,Jours_av_PREPA,continuous,,15.58364200592041,Jours_av_PREPA <= 15.58,Jours_av_PREPA > 15.58,4232,3177,1055,4.323096644612461,4.290553981743776,4.421094786729857,0.13054080498608123,0.003189120500601937
rdt,34,Jour_Semis,continuous,,267.6524353027344,Jour_Semis <= 267.7,Jour_Semis > 267.7,263,153,110,3.8134600760456268,3.8577450980392145,3.751863636363636,-0.10588146167557833,0.0027277996860536747
rdt,14,Jours_av_PREPA,continuous,,15.519914627075195,Jours_av_PREPA <= 15.52,Jours_av_PREPA > 15.52,383,281,102,4.4190600522193195,4.388274021352314,4.5038725490196105,0.11559852766729684,0.002611040144399033
rdt,25,Jours_semis_F1,continuous,,128.4505386352539,Jours_semis_F1 <= 128.5,Jours_semis_F1 > 128.5,1055,207,848,4.421094786729857,4.320555555555555,4.445636792452832,0.12508123689727668,0.0024674343867240964
rdt,45,Jour_Semis,continuous,,279.2518615722656,Jour_Semis <= 279.3,Jour_Semis > 279.3,1155,243,912,3.587722943722937,3.6837448559670802,3.562138157894723,-0.12160669807235713,0.002456700059502557
rdt,52,Jour_Semis,continuous,,314.53663635253906,Jour_Semis <= 314.5,Jour_Semis > 314.5,338,178,160,3.7476183431952683,3.7060112359550548,3.7939062500000014,0.0878950140449466,0.0019259059020917254
rdt,29,Jour_Semis,continuous,,303.5312957763672,Jour_Semis <= 303.5,Jour_Semis > 303.5,848,608,240,4.445636792452832,4.4716036184210575,4.379854166666669,-0.09174945175438864,0.0017081659955492864
rdt,18,Jours_op_recolte,continuous,,71.19469451904297,Jours_op_recolte <= 71.19,Jours_op_recolte > 71.19,3177,456,2721,4.290553981743776,4.194506578947367,4.306650128629179,0.11214354968181173,0.001545993103518658
rdt,49,Jours_av_PREPA,continuous,,15.51688528060913,Jours_av_PREPA <= 15.52,Jours_av_PREPA > 15.52,912,701,211,3.562138157894723,3.540720399429388,3.6332938388625577,0.09257343943316965,0.001523995188378432
