,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.06264286763996785,0.04362489963270333,0.05030724836293843,0.0344597094736534,0.03482423355047204,0.03424270654786565,0.034310968584886026,0.03403386865879443,0.034337991639666665,0.041291283537497114,0.03448131223146056,0.034388093713986545,0.034490291352442526,0.40414303478335456,0.07954409487218761,0.07565220377535586,0.03732152839887781,0.03530935682143599,0.15528065883486153,0.03544086016825776,0.03436181278939432,0.034253727163624736,0.034468970274300625,0.03402308273025123,0.03407410364285357
has_prepa,0.06264286763996785,0.0,0.02525485433089858,0.025373344161846223,0.030462222711655995,0.03584026330264123,0.026320631880132672,0.027274453338310578,0.027617478811274188,0.027189170901859794,0.02534588735236032,0.028274278443380818,0.025639812537221807,0.027816634128731144,0.3693489965418365,0.043748249377002946,0.06740654735123197,0.028710340315186822,0.029637858824117846,0.10744268053974837,0.03913976290376375,0.027489562717470606,0.02733218860334119,0.02542082935258294,0.026765685723377897,0.026237791513620157
nb_prepa,0.04362489963270333,0.02525485433089858,0.0,0.018941939655049644,0.013034891096942336,0.0191045851983902,0.009360575005186278,0.009265859059680137,0.009283233915330702,0.00936666938895725,0.008305874438822691,0.011168817493344418,0.008798082917049865,0.010020160917721288,0.3518287155341291,0.04211786570189402,0.047852678583023556,0.009976083138281688,0.01117172452058568,0.09019816642659984,0.02138629749912635,0.009980735162876564,0.008721264870454326,0.008509254794579313,0.008917236925320648,0.008856463702003436
prepa_1,0.05030724836293843,0.025373344161846223,0.018941939655049644,0.0,0.01949234891013707,0.0253553412921681,0.015288527140623787,0.01626929821787715,0.016279139435202317,0.01641956262590527,0.018324092890648624,0.018326015034633825,0.015200680327467464,0.01755506099704729,0.3584469920331904,0.04269408567164534,0.0555233343045628,0.016930133358661892,0.018361724956646897,0.09772084020582927,0.028900725515085046,0.016447867502123015,0.015230459480610747,0.014547214711914447,0.015423527342292243,0.015388634230359521
prepa_2,0.0344597094736534,0.030462222711655995,0.013034891096942336,0.01949234891013707,0.0,0.015588061787396357,0.007828381915907512,0.008131488694366418,0.007537135578737919,0.008291570246171553,0.010154899324405942,0.004734399983501669,0.0066538034620373665,0.007678444256375538,0.3495850678329466,0.04678263137228722,0.046288030963451576,0.009653799105512118,0.010937046042009846,0.09249922990423698,0.016601703515287225,0.004672550558009303,0.00905339771305913,0.0065400491242653125,0.007788760549995,0.005964378190994046
nb_f1,0.03482423355047204,0.03584026330264123,0.0191045851983902,0.0253553412921681,0.015588061787396357,0.0,0.013339916040491895,0.01651964319908672,0.013288457043771129,0.014454039376727179,0.016975798752278726,0.013895173820268947,0.013502099436154547,0.013426390510701158,0.36180902354890876,0.05272883845469856,0.05247677856934985,0.016767939416960642,0.015601419399503103,0.10605459545593277,0.022048532529459153,0.01324311556268365,0.012468241769704846,0.011771592011596832,0.013020581701663092,0.012432690319800654
type_f1_1,0.03424270654786565,0.026320631880132672,0.009360575005186278,0.015288527140623787,0.007828381915907512,0.013339916040491895,0.0,0.0005476954073602158,0.0010392200312483446,0.001381980028221319,0.0060881558698206995,0.004658604934039912,0.00011312974749144722,0.002571659967613882,0.34714802692007185,0.043025380192660445,0.045699758326015805,0.0016674915059862183,0.0030913128758879305,0.0903597049906304,0.01437354540478597,0.002797035525969771,0.00020840935789756543,0.00018770939477263937,0.0008914941185095282,0.0009368583699770339
type_f1_2,0.034310968584886026,0.027274453338310578,0.009265859059680137,0.01626929821787715,0.008131488694366418,0.01651964319908672,0.0005476954073602158,0.0,0.0016873155957796149,0.002327595407887406,0.007143619140206781,0.0061158798438394335,0.0009042406561640126,0.0027805649867221893,0.3527374019398557,0.04364797418818822,0.0466070745217797,0.0032701976593377813,0.004259432330976254,0.09604541914946674,0.015874760564278168,0.003249631164472744,0.0007436375595655242,0.0008207144356990881,0.001775754255817219,0.0010847056899562224
nb_f2,0.03403386865879443,0.027617478811274188,0.009283233915330702,0.016279139435202317,0.007537135578737919,0.013288457043771129,0.0010392200312483446,0.0016873155957796149,0.0,0.0011609861476615801,0.006403343866548061,0.004984658287302102,0.0012203704523972014,0.0014361162554147322,0.3443906087287908,0.04327361762899584,0.045815019442857596,0.001989949437481875,0.0031250662700634813,0.08774794941075448,0.015412737435507418,0.0035569116613975993,0.0009063552793321383,0.0009670768465855906,0.0013554785282423598,0.0009340634917213153
type_f2_1,0.034337991639666665,0.027189170901859794,0.00936666938895725,0.01641956262590527,0.008291570246171553,0.014454039376727179,0.001381980028221319,0.002327595407887406,0.0011609861476615801,0.0,0.006756088850299435,0.006852919482279951,0.0013988070646607786,0.002044412879668389,0.34681013659025706,0.04372283720189174,0.04952048291100808,0.0027811030489167665,0.003172106399838115,0.09218450642686793,0.016754203462001627,0.004004969423493154,0.0008848385956904403,0.0011364308672694445,0.0014479988486106876,0.0013081341848810712
type_f2_2,0.041291283537497114,0.02534588735236032,0.008305874438822691,0.018324092890648624,0.010154899324405942,0.016975798752278726,0.0060881558698206995,0.007143619140206781,0.006403343866548061,0.006756088850299435,0.0,0.008626029335470964,0.005758445252604494,0.007219967190458476,0.3486602323198269,0.0419934160053298,0.04582743286835178,0.007278163301385643,0.008361610421346644,0.0873082716913709,0.018979637886466838,0.0073160925639995655,0.006036536289462879,0.005633656520657615,0.005993425615026027,0.005958145476756327
