,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.43459004796849465,0.4331089794718278,0.4344295059268297,0.4328878239869395,0.4329424395920405,0.43231558892384725,0.4323659292300548,0.4323115696801081,0.43249457748698383,0.43361202955363753,0.43284938861850275,0.43286369614710707,0.4326874320802152,0.4347332263201604,0.43459424461999496,0.5761255922680413,0.44216823884882495,0.4360174670156296,0.7303480765062748,0.4334963299392851,0.4326645633965719,0.43246719764839026,0.4325561794865248,0.4322682833613637,0.4322826322869471
has_prepa,0.43459004796849465,0.0,0.0013119482994533582,0.0014520692684922842,0.07830397951190571,0.1591268581290226,0.09012506273254517,0.1604251191712034,0.06409843098407908,0.09312902721099148,0.001408109849865613,0.05188789494109558,0.06176640984119475,0.049930160951996205,0.0031482760099029727,0.0021955040060775977,0.38998856273771354,0.14291846177945555,0.08475124454947647,0.21477864121361323,0.22651722130338903,0.03006592146832876,0.09435124287410623,0.04094608260750243,0.06158371511220495,0.029876384167485837
nb_prepa,0.4331089794718278,0.0013119482994533582,0.0,0.001452812313976204,0.07739294167631328,0.1579201498126923,0.08956089257605404,0.15934234584762275,0.06293278469897667,0.09205975182623194,0.0007193484112972826,0.05114506496651927,0.061265726571442025,0.04890038841542632,0.00230346157402872,0.0023676247859061306,0.3884787663569562,0.14167638230815283,0.08379162237953719,0.21429236040751432,0.22567822184081487,0.029269595747217658,0.09324393325800195,0.040246610220752155,0.06073121000680437,0.028958710698286705
prepa_1,0.4344295059268297,0.0014520692684922842,0.001452812313976204,0.0,0.07839109196085536,0.15911598285521134,0.09012347128804854,0.16065259235544227,0.06395750985432525,0.09315060657959029,0.001796527120955127,0.05242676516499045,0.06205792713652514,0.05011410633059554,0.0034476158243679222,0.0027563353250718015,0.39000680540721666,0.1426221866412002,0.08467249995319803,0.21464093959624397,0.2266048218703195,0.0302025354392782,0.0943254961110146,0.04085244537530852,0.06170934958655683,0.029729649320674345
prepa_2,0.4328878239869395,0.07830397951190571,0.07739294167631328,0.07839109196085536,0.0,0.2445140722653686,0.1676033188937195,0.2339919061948713,0.13252028546575634,0.16147819306221478,0.07741727101395535,0.07674367649247815,0.1409592587467503,0.12019490116693199,0.07841827847747851,0.07890692693130552,0.450282257905506,0.21409911413691496,0.15189163438431919,0.30528722889627213,0.2904292205606116,0.07670638699692522,0.16808488039620895,0.11646207207310255,0.1323011449117466,0.10302914744441849
nb_f1,0.4329424395920405,0.1591268581290226,0.1579201498126923,0.15911598285521134,0.2445140722653686,0.0,0.23932436106413468,0.2953458924055571,0.21041468338340508,0.234065150365111,0.15792597458129332,0.22204764905262142,0.21529211308943386,0.19899173669731562,0.15985302275294988,0.15965562951683,0.4837024437528704,0.28034524159097807,0.23365991124153218,0.40751354302850473,0.3302705799149671,0.19380664837173767,0.24833926451883837,0.19304808794538308,0.21047399581875725,0.17929242183194738
type_f1_1,0.43231558892384725,0.09012506273254517,0.08956089257605404,0.09012347128804854,0.1676033188937195,0.23932436106413468,0.0,0.2072151786087295,0.13640186746741467,0.15667011027737698,0.0896984656679829,0.14340692216800455,0.08865034984125864,0.1278539547533366,0.08990427941891466,0.09060815414234802,0.44225321785584604,0.19450513897828514,0.1499340314299692,0.31184608764327115,0.2876102546046875,0.11926793804786984,0.1544095757537839,0.08860671340348591,0.13298918907223334,0.10923036211522652
type_f1_2,0.4323659292300548,0.1604251191712034,0.15934234584762275,0.16065259235544227,0.2339919061948713,0.2953458924055571,0.2072151786087295,0.0,0.19196032993006673,0.20357781484724258,0.15956556607185357,0.21046006580514476,0.19329091134536447,0.18571473585161968,0.16097469069617298,0.1608444445336319,0.4809692264108204,0.22601609856007,0.20391194840294025,0.3865763999706464,0.3277461639932878,0.18644394971639044,0.20395203840167087,0.18258516488950438,0.18968981103625004,0.17336963357046864
nb_f2,0.4323115696801081,0.06409843098407908,0.06293278469897667,0.06395750985432525,0.13252028546575634,0.21041468338340508,0.13640186746741467,0.19196032993006673,0.0,0.11292808610131855,0.06300448220720911,0.10801240169428461,0.11286860930738496,0.06259015934158096,0.06371330009855147,0.06468269420218686,0.43115389581913965,0.18084981647542542,0.11149338908947926,0.27598275266308325,0.2696519100585463,0.08854353661879821,0.14290990106922175,0.09764181112525705,0.0982766848748996,0.06219150662970374
type_f2_1,0.43249457748698383,0.09312902721099148,0.09205975182623194,0.09315060657959029,0.16147819306221478,0.234065150365111,0.15667011027737698,0.20357781484724258,0.11292808610131855,0.0,0.09244564876662043,0.1391323896202321,0.1361106361929555,0.10922608339796158,0.09332377530899982,0.09344000041767742,0.4468406861832057,0.19820666783803476,0.12386427901987263,0.31004425554845516,0.2938148194205802,0.11611880036678723,0.16108487241039682,0.12338681342632951,0.1155949440714561,0.10178260086459945
type_f2_2,0.43361202955363753,0.001408109849865613,0.0007193484112972826,0.001796527120955127,0.07741727101395535,0.15792597458129332,0.0896984656679829,0.15956556607185357,0.06300448220720911,0.09244564876662043,0.0,0.05124141103285662,0.0616957148136178,0.04902569692134595,0.002909266073515493,0.0027062757371174584,0.38892751438186346,0.14234179665520463,0.08391765333933643,0.21485999096896158,0.22567562797653873,0.02932724898290573,0.09390656619184246,0.040548635571705405,0.06087386633202785,0.02903517921937382
nb_f3,0.43284938861850275,0.05188789494109558,0.05114506496651927,0.05242676516499045,0.07674367649247815,0.22204764905262142,0.14340692216800455,0.21046006580514476,0.10801240169428461,0.1391323896202321,0.05124141103285662,0.0,0.11468228580072481,0.09541104090855923,0.05226539162668453,0.05218683398440127,0.43327944145026187,0.1892816795126655,0.12974643162501331,0.27214657344234816,0.2712758446972725,0.06007829109461316,0.14111236819065165,0.08934221996172265,0.10768496161865238,0.0773354527662965
type_f3_1,0.43286369614710707,0.06176640984119475,0.061265726571442025,0.06205792713652514,0.1409592587467503,0.21529211308943386,0.08865034984125864,0.19329091134536447,0.11286860930738496,0.1361106361929555,0.0616957148136178,0.11468228580072481,0.0,0.10454273029928485,0.06213916367577865,0.0613948901670377,0.4261543365981295,0.17734536694236758,0.1298964949119671,0.2799482039722986,0.2659870308399739,0.09242603509764835,0.13426367617469082,0.07603809134203043,0.11078714323623073,0.0836154433105678
