,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.5867232109114022,0.5752834132362874,0.579023429647413,0.5684996117751291,0.5688067677120087,0.5684363235793546,0.5684653325330833,0.5682599318472038,0.5682627422599856,0.5738634955883173,0.5687354011000858,0.5687638386078753,0.5682835348426021,0.5995347427046911,0.5962831963664355,0.6092624947987322,0.569180397259504,0.5686822196396382,0.642813950412683,0.5689852425677799,0.5683651220482488,0.568330136552866,0.5684165322031027,0.5682426360363004,0.5682412287627949
has_prepa,0.5867232109114022,0.0,0.020424874097393242,0.020515157502708492,0.12986871614084272,0.25107724643651064,0.10099380680567749,0.1770022763554313,0.06239311276917314,0.08627178773409905,0.020582090564472466,0.08973848647971583,0.07302850127422245,0.050859216885018155,0.036094464873392185,0.02991493758252306,0.36541373836546254,0.12018903172429163,0.0676628940941787,0.06365486137805543,0.33557453315480334,0.06098279298405984,0.10423679431434874,0.05480001936855239,0.06152589821401311,0.03878467119758866
nb_prepa,0.5752834132362874,0.020424874097393242,0.0,0.01645815512589799,0.11676700259532957,0.2400101969755265,0.0874807006659788,0.16460100319792204,0.04971660406967371,0.07434211712040917,0.007269625491864606,0.07726444060072102,0.05892683205627147,0.03778360116264967,0.0210724375009832,0.027566982204958013,0.3523672043910697,0.10653806316260916,0.054772716245130804,0.04987349468679869,0.3219519036678915,0.04786562752335921,0.0919276347331911,0.04148015628586266,0.048523368878302,0.02584157729988168
prepa_1,0.579023429647413,0.020515157502708492,0.01645815512589799,0.0,0.12072295515710518,0.24361720482499738,0.09155026006118905,0.16878066120179647,0.053155133576345714,0.07795272573493217,0.014229542810097695,0.08108404844867856,0.06321975372591038,0.041704925115032654,0.02589692702320867,0.029269018383270118,0.3555682248884796,0.11120551276442892,0.05844737889630647,0.055522154269115,0.3268921975077188,0.05153966486779227,0.09567033071467157,0.04542849285389583,0.05200134076914331,0.029523080944264812
prepa_2,0.5684996117751291,0.12986871614084272,0.11676700259532957,0.12072295515710518,0.0,0.35309319742974576,0.2024266112841101,0.2788388865340402,0.15370544008227738,0.18125974265285416,0.11434659992288276,0.11017825922150237,0.17003609178371604,0.14146706225727101,0.12452366055707409,0.137078627200527,0.44739846556486373,0.21886835588177667,0.1600775316759797,0.15763737124025456,0.41029063647866026,0.11011519296635541,0.2094133407579356,0.15007705723983478,0.1546845676397759,0.1292719795331202
nb_f1,0.5688067677120087,0.25107724643651064,0.2400101969755265,0.24361720482499738,0.35309319742974576,0.0,0.3169573089525516,0.38866810554870235,0.27645577161657797,0.2976793086781462,0.23782237279321783,0.31755559886647944,0.29233273680030536,0.2631624864279818,0.2498547287817814,0.25933696139097984,0.5094927962972755,0.3323943395732474,0.2822627465430566,0.283371217108085,0.47964566937468134,0.284869829812325,0.3219457983859757,0.26888117791222665,0.2759242295318537,0.2513009100416803
type_f1_1,0.5684363235793546,0.10099380680567749,0.0874807006659788,0.09155026006118905,0.2024266112841101,0.3169573089525516,0.0,0.19805536674877955,0.11644103142293938,0.1361519130195572,0.0852338065310908,0.16127724181416592,0.08079124529732351,0.10729275334752586,0.09690118304866091,0.10831880593774723,0.41323609150778273,0.1572907834383247,0.11694699077739112,0.12426369333659604,0.3766485915665153,0.1281669117462081,0.14580551430823052,0.08063501712203414,0.11407606391262992,0.09824685379080622
type_f1_2,0.5684653325330833,0.1770022763554313,0.16460100319792204,0.16878066120179647,0.2788388865340402,0.38866810554870235,0.19805536674877955,0.0,0.1799432241419494,0.18925527154484834,0.16260719978869853,0.23946091643963652,0.18601751493891083,0.1749460495713423,0.17564726478907322,0.18416639566758009,0.45782171649242454,0.20389601287976078,0.17962820954647485,0.20339836726965066,0.42548372786396527,0.20317688837237124,0.2008708330434561,0.17625427345637334,0.17973606683871812,0.16770173035152003
nb_f2,0.5682599318472038,0.06239311276917314,0.04971660406967371,0.053155133576345714,0.15370544008227738,0.27645577161657797,0.11644103142293938,0.1799432241419494,0.0,0.08125368524023313,0.04707442909522397,0.11297118061432809,0.09075356267497836,0.04299777340065547,0.05771434748682169,0.06878838610223215,0.3827628186419407,0.13101527550017755,0.06936365610462547,0.08792270901290389,0.3493857772833504,0.08481074427467938,0.12020295018441607,0.07545724857595648,0.06784963497195518,0.042947319802706274
type_f2_1,0.5682627422599856,0.08627178773409905,0.07434211712040917,0.07795272573493217,0.18125974265285416,0.2976793086781462,0.1361519130195572,0.18925527154484834,0.08125368524023313,0.0,0.07197146783627051,0.14176651054850653,0.11169000638127558,0.07801296882976527,0.08453392414870697,0.09299571040875798,0.40063495027526397,0.15072095016500942,0.08328815508521292,0.11532668699065307,0.37150959781052306,0.10970156731481118,0.13920898520341896,0.09952597214098813,0.08171025390205466,0.07346938450578144
