,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.0034337678018746542,0.0012625616004355855,0.001966743188194231,0.0004365107205360763,0.0004931850601733734,1.0126078976435693e-06,0.00023940086291518448,0.0,-2.220446049250313e-16,0.0018613803436909881,0.0003766311277864087,7.03685672363008e-05,0.0,0.029411388143201433,0.004129553883865489,0.005067477684475574,9.1881090267254e-06,0.0,0.03901580166230123,0.001035777591232856,0.000335828735242627,2.7622055277953805e-05,4.779640766716664e-05,0.0,-1.1102230246251565e-16
has_prepa,0.0034337678018746542,0.0,0.0,-1.1102230246251565e-16,0.0006930027285811935,0.0007093546982024357,0.0010470126110307953,0.001832672324322271,0.0012982035889635979,0.0009874936765498221,1.1102230246251565e-16,0.0004364635795527372,0.0003089205951759544,0.0011216866695534788,0.00047089524229926294,0.0,0.0042509972389699335,0.002013424825485721,0.0013309447309283184,0.0012741436304922749,0.0016194814993617523,0.0006620915256053683,0.0020414124521185295,1.3382260198535612e-05,0.0007665769085162255,0.00024924663671066494
nb_prepa,0.0012625616004355855,0.0,0.0,0.0029266226071003043,0.00025153965315638516,0.0004716205010359964,0.0011330744866794307,0.0008300488279440188,0.00014442903034461718,0.0003885789039150822,2.220446049250313e-16,0.0002153823472468286,0.00047461909399260094,0.0004522549804931719,0.00020286653262269194,0.000314269877346951,0.0015107477416559378,0.00029399645720495915,8.267052396770946e-05,0.0006955283970833115,0.0009723783681364617,0.00014469871828703962,0.0005035054704368713,0.00015469884659691235,4.1889123204796874e-05,4.944875731105469e-09
prepa_1,0.001966743188194231,-1.1102230246251565e-16,0.0029266226071003043,0.0,0.0006470024069501479,0.0007975238165832677,0.0009633026412745327,0.0017433126427069956,0.0009467602953558973,0.0013053746151564516,0.00310519828736866,0.0013672693660866653,0.0007703087487230809,0.0018045855859123439,0.00040086108182957325,0.00028438852832202155,0.0027985003853059354,0.001230525543584271,0.0010420382763900449,0.0025296590994724477,0.0021852430827217217,0.0005991367254108981,0.0009071871011507859,9.017673024436235e-05,0.0003598695462528889,0.00038893101193782087
prepa_2,0.0004365107205360763,0.0006930027285811935,0.00025153965315638516,0.0006470024069501479,0.0,0.0034438323252909964,0.002943891967545187,0.003456625621452769,0.0014273937337221376,0.0023715337150274074,0.00025840283956612975,2.220446049250313e-16,0.0016856017575845872,0.0010225117268890527,0.004997725787570406,0.0007125347990108999,0.0060782673388452,0.002613707916886754,0.002397241089400537,0.0054087688588304594,0.003244526194773445,0.0,0.0042162524568964965,0.0014868371027167981,0.001995595030029329,0.00038383892760007754
nb_f1,0.0004931850601733734,0.0007093546982024357,0.0004716205010359964,0.0007975238165832677,0.0034438323252909964,0.0,0.0021426449088979282,0.005814124339004745,0.0008925472294624148,0.00190834770717363,0.00118302140874893,0.002473384977340287,0.002364522477663722,0.0005570862666492982,0.010913525097757226,0.0009121135870442387,0.008658949509081193,0.0024955292686075214,0.0006198706639011231,0.014244516893137882,0.006520161046387862,0.002277503569005912,0.0013132624691419847,0.0005429875352092051,0.0008737523858006746,0.0007386766419997803
type_f1_1,1.0126078976435693e-06,0.0010470126110307953,0.0011330744866794307,0.0009633026412745327,0.002943891967545187,0.0021426449088979282,0.0,0.00014317365234772783,0.00014026367433728204,0.0006636336887995142,0.000823314145246945,0.0017627823427670553,2.220446049250313e-16,0.0011385345665667623,0.006590689510289294,0.001758577054380539,0.006396820763340472,8.165308057050957e-05,7.721321502762724e-05,0.008580414278246185,0.0008939365738781513,0.001142973197131636,0.00018271035008377012,-2.220446049250313e-16,0.00019076905615078577,0.0003199541611956791
type_f1_2,0.00023940086291518448,0.001832672324322271,0.0008300488279440188,0.0017433126427069956,0.003456625621452769,0.005814124339004745,0.00014317365234772783,0.0,0.0001444182963953322,0.000886716619318273,0.0016406370061525788,0.003267177364102314,0.0004278811412355976,0.0007404701261950475,0.011809254467220143,0.0021173845004954783,0.007776970330885535,0.0003672488574341104,0.00021387618715162926,0.014210639522694524,0.0029418680330476343,0.001545624304250759,0.0003529018356430713,0.0002525398045228888,0.00047291411785232995,2.8526051436994493e-05
nb_f2,0.0,0.0012982035889635979,0.00014442903034461718,0.0009467602953558973,0.0014273937337221376,0.0008925472294624148,0.00014026367433728204,0.0001444182963953322,0.0,0.00010458504204358121,0.00024052607609803545,0.0009610598804752346,0.00024727240955724206,0.0,0.0030094897989849656,0.0010042747276189923,0.005029156477921903,2.1861708908499367e-05,0.00013188601306168835,0.005242654099042565,0.0007366005668237863,0.0008973027424140634,8.164376958386121e-06,8.001995241979643e-07,0.00023422040102361041,0.0
type_f2_1,-2.220446049250313e-16,0.0009874936765498221,0.0003885789039150822,0.0013053746151564516,0.0023715337150274074,0.00190834770717363,0.0006636336887995142,0.000886716619318273,0.00010458504204358121,0.0,0.000768567454836222,0.0030559347163318096,0.0006037206920029847,0.00044873507200848817,0.005681307109048128,0.0015043707694147868,0.008514693152657404,0.0009898541422989071,0.0001693541496692319,0.009708702155814097,0.0019627856032029545,0.0015122847333172151,0.00016259735059842573,0.0003577962816937452,0.0005183712316395583,0.0003358169775444786
type_f2_2,0.0018613803436909881,1.1102230246251565e-16,2.220446049250313e-16,0.00310519828736866,0.00025840283956612975,0.00118302140874893,0.000823314145246945,0.0016406370061525788,0.00024052607609803545,0.000768567454836222,0.0,0.0005838541279596932,0.0003974168557348001,0.000620630157759261,0.000564985123455819,0.00033121681916403745,0.0019921781682324946,0.0005484234649739683,0.00020117205231962032,0.0009025908536463012,0.0014518288221380127,0.00044062817129331133,0.000784427865903381,0.00023821641946442096,8.986751600725817e-05,6.58344371577968e-05
nb_f3,0.0003766311277864087,0.0004364635795527372,0.0002153823472468286,0.0013672693660866653,2.220446049250313e-16,0.002473384977340287,0.0017627823427670553,0.003267177364102314,0.0009610598804752346,0.0030559347163318096,0.0005838541279596932,0.0,0.001738943438356233,0.0014877849459716819,0.0034168073742228966,0.00045523238728439885,0.00461122667340208,0.0019197614468855484,0.0018218929313756904,0.003233883767255419,0.0026812818642693026,0.0011224893858339247,0.0028845332009347358,0.001244521848076996,0.001027169968891184,0.0004697416760975903
type_f3_1,7.03685672363008e-05,0.0003089205951759544,0.00047461909399260094,0.0007703087487230809,0.0016856017575845872,0.002364522477663722,2.220446049250313e-16,0.0004278811412355976,0.00024727240955724206,0.0006037206920029847,0.0003974168557348001,0.001738943438356233,0.0,0.0016663220246857513,0.004764226282845008,0.0007647727122438441,0.005635290733217557,0.0002165555989118717,5.529278850291419e-05,0.005811854859588461,0.0024162790605806173,0.0004992082189960723,0.000567062907872451,0.001502101676765788,0.0004635129729901877,0.00032359891078870273
type_f3_2,0.0,0.0011216866695534788,0.0004522549804931719,0.0018045855859123439,0.0010225117268890527,0.0005570862666492982,0.0011385345665667623,0.0007404701261950475,0.0,0.00044873507200848817,0.000620630157759261,0.0014877849459716819,0.0016663220246857513,0.0,0.0022322556934908366,0.0011144685443793545,0.004541247483112021,5.2123633869638475e-05,0.0008291486075636678,0.0047572435732397,0.0012949690048118523,0.0006920725249942583,0.0003811314377388797,0.0017206859602054703,0.0006957705518344515,0.0002882672395052577
Jour_Semis,0.029411388143201433,0.00047089524229926294,0.00020286653262269194,0.00040086108182957325,0.004997725787570406,0.010913525097757226,0.006590689510289294,0.011809254467220143,0.0030094897989849656,0.005681307109048128,0.000564985123455819,0.0034168073742228966,0.004764226282845008,0.0022322556934908366,0.0,0.0009991321157392097,0.021387115592663486,0.008206470039174074,0.003467983183612855,0.007301804581846039,0.016577452902483802,0.00191644158133919,0.005033259018833336,0.00322298646209207,0.0035910336721779457,0.0007921165747807324
Jours_av_PREPA,0.004129553883865489,0.0,0.000314269877346951,0.00028438852832202155,0.0007125347990108999,0.0009121135870442387,0.001758577054380539,0.0021173845004954783,0.0010042747276189923,0.0015043707694147868,0.00033121681916403745,0.00045523238728439885,0.0007647727122438441,0.0011144685443793545,0.0009991321157392097,0.0,0.004925894834044375,0.0019370311961165454,0.0020017278069285327,0.0027287525455906847,0.0026364712820639014,0.0002910287517089438,0.002333632344509562,0.0002343306538157286,0.0008374882046522369,0.0002119852166163616
Jours_semis_F1,0.005067477684475574,0.0042509972389699335,0.0015107477416559378,0.0027985003853059354,0.0060782673388452,0.008658949509081193,0.006396820763340472,0.007776970330885535,0.005029156477921903,0.008514693152657404,0.0019921781682324946,0.00461122667340208,0.005635290733217557,0.004541247483112021,0.021387115592663486,0.004925894834044375,0.0,0.005985920315096704,0.005080047161972634,0.11065343410810424,0.010273094226226909,0.0025954476735581267,0.004830733645737384,0.001597539543910953,0.0060204439852394875,0.0031851726142725356
Jours_F1_F2,9.1881090267254e-06,0.002013424825485721,0.00029399645720495915,0.001230525543584271,0.002613707916886754,0.0024955292686075214,8.165308057050957e-05,0.0003672488574341104,2.1861708908499367e-05,0.0009898541422989071,0.0005484234649739683,0.0019197614468855484,0.0002165555989118717,5.2123633869638475e-05,0.008206470039174074,0.0019370311961165454,0.005985920315096704,0.0,0.0007424474164745565,0.016896100884625898,0.0016445557494860763,0.0009188157579794742,0.0009964051283360975,3.502237220120996e-06,7.476820592766664e-06,8.076543788537727e-06
Jours_F2_F3,0.0,0.0013309447309283184,8.267052396770946e-05,0.0010420382763900449,0.002397241089400537,0.0006198706639011231,7.721321502762724e-05,0.00021387618715162926,0.00013188601306168835,0.0001693541496692319,0.00020117205231962032,0.0018218929313756904,5.529278850291419e-05,0.0008291486075636678,0.003467983183612855,0.0020017278069285327,0.005080047161972634,0.0007424474164745565,0.0,0.005543597017916735,0.0005498273191000269,0.0013179035355326274,0.00042639339906092033,3.18512133610227e-05,5.6395254518504245e-06,1.502139547693293e-05
Jours_op_recolte,0.03901580166230123,0.0012741436304922749,0.0006955283970833115,0.0025296590994724477,0.0054087688588304594,0.014244516893137882,0.008580414278246185,0.014210639522694524,0.005242654099042565,0.009708702155814097,0.0009025908536463012,0.003233883767255419,0.005811854859588461,0.0047572435732397,0.007301804581846039,0.0027287525455906847,0.11065343410810424,0.016896100884625898,0.005543597017916735,0.0,0.01826668063759207,0.0017471327185692997,0.009350598849207636,0.00328644966087277,0.0041189892142774465,0.0024949014173782924
Dose_F1_1,0.001035777591232856,0.0016194814993617523,0.0009723783681364617,0.0021852430827217217,0.003244526194773445,0.006520161046387862,0.0008939365738781513,0.0029418680330476343,0.0007366005668237863,0.0019627856032029545,0.0014518288221380127,0.0026812818642693026,0.0024162790605806173,0.0012949690048118523,0.016577452902483802,0.0026364712820639014,0.010273094226226909,0.0016445557494860763,0.0005498273191000269,0.01826668063759207,0.0,0.0016413236047753132,0.0020338646277685557,0.0008574035223760657,0.0014792888607459975,0.0007252272962041673
Dose_F1_2,0.000335828735242627,0.0006620915256053683,0.00014469871828703962,0.0005991367254108981,0.0,0.002277503569005912,0.001142973197131636,0.001545624304250759,0.0008973027424140634,0.0015122847333172151,0.00044062817129331133,0.0011224893858339247,0.0004992082189960723,0.0006920725249942583,0.00191644158133919,0.0002910287517089438,0.0025954476735581267,0.0009188157579794742,0.0013179035355326274,0.0017471327185692997,0.0016413236047753132,0.0,0.0019382785374170153,0.00042212911483241466,0.0011274912017693595,0.00016292737788636824
Dose_F2_1,2.7622055277953805e-05,0.0020414124521185295,0.0005035054704368713,0.0009071871011507859,0.0042162524568964965,0.0013132624691419847,0.00018271035008377012,0.0003529018356430713,8.164376958386121e-06,0.00016259735059842573,0.000784427865903381,0.0028845332009347358,0.000567062907872451,0.0003811314377388797,0.005033259018833336,0.002333632344509562,0.004830733645737384,0.0009964051283360975,0.00042639339906092033,0.009350598849207636,0.0020338646277685557,0.0019382785374170153,0.0,8.10114715069643e-05,0.00019090677903921272,9.512427061264539e-06
Dose_F2_2,4.779640766716664e-05,1.3382260198535612e-05,0.00015469884659691235,9.017673024436235e-05,0.0014868371027167981,0.0005429875352092051,-2.220446049250313e-16,0.0002525398045228888,8.001995241979643e-07,0.0003577962816937452,0.00023821641946442096,0.001244521848076996,0.001502101676765788,0.0017206859602054703,0.00322298646209207,0.0002343306538157286,0.001597539543910953,3.502237220120996e-06,3.18512133610227e-05,0.00328644966087277,0.0008574035223760657,0.00042212911483241466,8.10114715069643e-05,0.0,8.10682933415352e-05,0.00011516999449678877
