,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.00036209084713878514,0.000169434122699208,0.000635269443174602,0.0005467086440974489,0.0005494384760471593,4.678096165722234e-05,7.700221231954352e-05,0.0,2.220446049250313e-16,0.0007942008007425505,0.00043437770951060273,0.00042912606179701385,0.0,0.0009780517154234225,0.0004812112105662125,0.0010717059913812887,0.00018254471889722623,-1.1102230246251565e-16,0.08074121626180808,0.0006135736431022165,0.0003324894039891113,1.6305680283767998e-07,0.00020192194075596692,0.0,0.0
has_prepa,0.00036209084713878514,0.0,-2.220446049250313e-16,-1.1102230246251565e-16,0.0001866375074562887,0.00011982386565567715,0.00028158990806137485,7.060273741799072e-05,0.00028549736446004115,1.9836673574968877e-05,0.0,0.00034707646558118643,0.0005534817483389132,0.0003066319020853525,0.00030182258473721024,0.0,0.001028267583922493,0.0006634472762370169,6.78691623281491e-05,0.0003545905708417507,0.0008276583802091508,5.273122456528334e-05,6.834523870680176e-05,2.590676867986197e-05,2.955962895900832e-06,0.0002042696158250923
nb_prepa,0.000169434122699208,-2.220446049250313e-16,0.0,0.00012685480753671374,1.8781991384386743e-07,0.0001521803484363371,0.0003507318014838168,2.3316572624110243e-05,3.5743391471165786e-05,0.00010940176367757459,0.0,0.0004123464122506304,0.0005029953715096624,7.902880323196193e-05,0.00013792089291886356,0.00021019968796165411,0.0002253705585930632,4.154308869031009e-05,7.103835743982323e-06,0.00029880250961000776,0.0005632485532121034,2.80858179269039e-07,1.4873081248811815e-06,3.1514764855522515e-05,5.305982209158344e-09,8.156170386763861e-05
prepa_1,0.000635269443174602,-1.1102230246251565e-16,0.00012685480753671374,0.0,0.00027825349883769945,0.00042983997943135677,0.00031961594465190757,0.0006301317492931613,0.00023055179673903137,0.0004015241799639746,0.00035943097094981447,0.0009746987086903802,0.0006355273363142233,0.0005942206420809226,0.0006737325935909366,0.000388097310623281,0.0008376031758275948,0.0006091988758518685,7.526450679395946e-05,0.0004649117864560237,0.001163352820504726,0.0001785398563595164,0.00034034183412245955,1.695512579857894e-05,0.00014570274976755115,0.00017170075665406959
prepa_2,0.0005467086440974489,0.0001866375074562887,1.8781991384386743e-07,0.00027825349883769945,0.0,0.05891614297125247,0.023994536641237074,0.03527738342538633,0.007984021110867157,0.012674832051219886,3.686424220894491e-05,-1.1102230246251565e-16,0.019387554571912324,0.006419006475074984,3.504444387658623e-05,0.0002779794217447895,0.047313454865343996,0.021534875716555546,0.008031281977661675,0.018371008773339748,0.05127500363935,0.0,0.01906279369070263,0.010225031712434718,0.008138114764373316,0.004874947913006689
nb_f1,0.0005494384760471593,0.00011982386565567715,0.0001521803484363371,0.00042983997943135677,0.05891614297125247,0.0,0.033998526557422526,0.04807583771786894,0.014067102132948484,0.021642029786229866,0.00021048029143122537,0.046641893653740385,0.02592403498062512,0.01160658913077628,0.0013215598647556837,0.00038375858554129394,0.06532816606943348,0.034192390920251836,0.017921923609279244,0.034499419008660825,0.0701757793704425,0.027210553790768865,0.04031234420754792,0.014507555861387411,0.016027384264520106,0.005101521018756494
type_f1_1,4.678096165722234e-05,0.00028158990806137485,0.0003507318014838168,0.00031961594465190757,0.023994536641237074,0.033998526557422526,0.0,0.030423672745823027,0.013029631431574096,0.016649479575534976,0.0003927840562024665,0.018133035241899687,2.220446049250313e-16,0.012415293624069235,0.0001372059501772993,0.0002156126258833213,0.02540696518089569,0.01995210034014805,0.0106865927791151,0.006302632191629409,0.031764808479361695,0.010392681837784079,0.019960389711995097,0.0,0.011712141324996983,0.0061641853738861885
type_f1_2,7.700221231954352e-05,7.060273741799072e-05,2.3316572624110243e-05,0.0006301317492931613,0.03527738342538633,0.04807583771786894,0.030423672745823027,0.0,0.01402950296956973,0.017552347392995382,0.00033323795305362225,0.024918938593209594,0.022914363046945496,0.011638791582548658,0.0009773538550532646,0.00018266892222174036,0.03462184845432503,0.01983800843795991,0.013727574867103631,0.009732780887787729,0.04285786962955562,0.01356056114475368,0.02577879913814929,0.016096671129723128,0.013608758997604609,0.006459444537636694
nb_f2,0.0,0.00028549736446004115,3.5743391471165786e-05,0.00023055179673903137,0.007984021110867157,0.014067102132948484,0.013029631431574096,0.01402950296956973,0.0,0.012175469701065311,6.350664122800609e-06,0.005600033633044399,0.010057198546351231,0.0,6.88029021594927e-05,0.00021776660984951235,0.013322114004653995,0.01182076092231743,0.009169872924390643,0.0010717456307015594,0.015191463879739242,0.003121678715681808,0.013210521241565076,0.008263776552281055,0.012505956578865218,0.0
type_f2_1,2.220446049250313e-16,1.9836673574968877e-05,0.00010940176367757459,0.0004015241799639746,0.012674832051219886,0.021642029786229866,0.016649479575534976,0.017552347392995382,0.012175469701065311,0.0,0.0004905564255570649,0.009422239976456193,0.01295639392015735,0.010631497825340674,0.0006402421335812702,0.00020163209821311145,0.016102481296316085,0.015431386609142672,0.010352420725295852,0.0031435414349656465,0.025716455304548913,0.004481636807370792,0.017267961189859404,0.010319656403190325,0.015195504000532822,0.006960098783687085
