,n_ferti,has_prepa,nb_prepa,prepa_1,prepa_2,nb_f1,type_f1_1,type_f1_2,nb_f2,type_f2_1,type_f2_2,nb_f3,type_f3_1,type_f3_2,Jour_Semis,Jours_av_PREPA,Jours_semis_F1,Jours_F1_F2,Jours_F2_F3,Jours_op_recolte,Dose_F1_1,Dose_F1_2,Dose_F2_1,Dose_F2_2,Dose_F3_1,Dose_F3_2
n_ferti,0.0,0.0003149350149864727,7.685005611668405e-05,0.0007070820773673603,0.00018091318349022778,0.0004687807601788663,9.385820426177638e-05,0.00014354112370051908,1.1102230246251565e-16,0.0,0.0006620404243373734,0.0003454768750198456,0.000263171379311089,-1.1102230246251565e-16,0.016199678087413627,0.0006618216837943613,0.007711137609795693,8.801135326730325e-05,0.0,0.03015223248197274,0.0006051878812595168,1.8766097496403233e-05,8.163379549552818e-05,0.00016121595617080153,0.0,0.0
has_prepa,0.0003149350149864727,0.0,0.0,0.0,1.4676715160977238e-06,5.48034606261405e-05,2.4008886481352576e-05,0.0004858216491434586,4.4807558614801124e-05,0.0001751495666650893,-2.220446049250313e-16,0.000130838795394439,1.6951742540460835e-05,8.446318791621721e-05,0.0022231221472768237,0.0,8.513980912738806e-05,2.407527902170692e-05,0.00013104952136877568,6.878461166148764e-05,7.565713094503934e-05,3.056215391206152e-06,0.00030868731469846367,2.9379241039961812e-08,0.00014109178267396327,3.9850277958608515e-06
nb_prepa,7.685005611668405e-05,0.0,0.0,0.003801807094825138,1.7678317228098095e-05,1.260607453412721e-05,3.149725485118715e-05,0.00016533922055639305,4.561766894228825e-07,0.00015160055459839672,2.220446049250313e-16,0.0003877233039416561,0.0001644283867389129,3.0016089338946728e-05,0.0005804322336638856,0.00022589802166006479,0.00014175342906941335,2.7982856414254798e-06,1.0706943546323622e-05,0.00029710759984558077,0.00023504350884206993,3.585766534697221e-06,0.00012694317538586297,3.8164004234619853e-07,1.7005459513885768e-06,6.511747141790813e-05
prepa_1,0.0007070820773673603,0.0,0.003801807094825138,0.0,0.00012427814951176952,0.0005173321102091011,0.00013892075039267926,0.0006789929819963625,6.621589671806927e-05,0.0003411287896762927,0.0024397776140805405,0.00057073617730663,0.0005243813057367319,0.00030367968958844305,0.001300515775061517,0.0015274002647203133,0.0002777524947600307,0.00020186316220571765,0.00019600739362435338,0.0010380058824760452,0.0002858831416977514,0.00011514528633238541,0.0003712540013243171,8.176934982384587e-05,0.00016132893469733567,3.0088611928213993e-05
prepa_2,0.00018091318349022778,1.4676715160977238e-06,1.7678317228098095e-05,0.00012427814951176952,0.0,0.08015839959314275,0.036392462165904416,0.055433504271437006,0.014772499328983502,0.023103840293040134,4.5902328600022635e-05,0.0,0.024890679662866844,0.011064826628484292,0.0017529447087929473,2.826211502926501e-05,0.0789162169008143,0.03504245296985797,0.016894153796490063,0.004846173488430305,0.07347676962350158,0.0,0.03784563171417166,0.016837170092770637,0.01576783472985699,0.006729236307545183
nb_f1,0.0004687807601788663,5.48034606261405e-05,1.260607453412721e-05,0.0005173321102091011,0.08015839959314275,0.0,0.048828804229709144,0.08040964620651725,0.022560204130732786,0.033155505900399285,0.00018698539674522063,0.060021856363596804,0.037739784621864,0.015992862589655932,0.004188284414475052,0.00015066798532714643,0.10773343441949412,0.051798260400300444,0.02337524432771576,0.006317115351782365,0.1079064719960271,0.038871686521263826,0.05133519088316063,0.02129044389996182,0.02352252220185247,0.009711203011828262
type_f1_1,9.385820426177638e-05,2.4008886481352576e-05,3.149725485118715e-05,0.00013892075039267926,0.036392462165904416,0.048828804229709144,0.0,0.0259842929335109,0.014337419288807829,0.020417707884243796,0.0004506553216409026,0.025823810062401198,-2.220446049250313e-16,0.011880735584653634,0.0022657110943161696,0.0005460553721987615,0.050017124554480596,0.021947699087515038,0.012018471888222027,0.0006836051002896415,0.0422666527177985,0.016524264577235992,0.02306957757535444,0.0,0.013591583961027665,0.009147750407037636
type_f1_2,0.00014354112370051908,0.0004858216491434586,0.00016533922055639305,0.0006789929819963625,0.055433504271437006,0.08040964620651725,0.0259842929335109,0.0,0.013245649415394856,0.017049136812383403,0.0004908374976017038,0.03982699959804692,0.020315524657695483,0.011125238406139104,0.003890253078676742,0.0008487557018012071,0.06779208997289066,0.023563540252949933,0.01117263925085199,0.0016947894928661666,0.06596248979471497,0.022482849545550465,0.027477034285555146,0.013094381838751334,0.014303392908888712,0.006444556749123698
nb_f2,1.1102230246251565e-16,4.4807558614801124e-05,4.561766894228825e-07,6.621589671806927e-05,0.014772499328983502,0.022560204130732786,0.014337419288807829,0.013245649415394856,0.0,0.0079180575232074,5.9545137405581094e-05,0.009724739613611866,0.011042660990824293,0.0,0.0013429569723154566,7.956663297825628e-05,0.025191753212989387,0.012634281712513351,0.0061798292059903615,0.0021892566516437117,0.020995453006744547,0.006707255863946826,0.012292747344183508,0.007905728348195473,0.008809563886211791,-1.1102230246251565e-16
type_f2_1,0.0,0.0001751495666650893,0.00015160055459839672,0.0003411287896762927,0.023103840293040134,0.033155505900399285,0.020417707884243796,0.017049136812383403,0.0079180575232074,0.0,0.000278831441765659,0.016030164419502335,0.014857542361888632,0.006961512377750112,0.0025661865027557518,0.00020752824497627387,0.03550532923832583,0.019572402449418158,0.007058328036288586,0.003438830898972456,0.03466097335550311,0.009950585673169754,0.019559242518710662,0.011834709368119811,0.008702257794662938,0.00381131319423067
