sortie,parametre,test,statistique,p_value,R2_parametre,n,n_groupes,normalite_min_p,levene_p
N_lixi,Jour_Semis,Kruskal,3384.867018981281,0.0,0.3405472638036866,10000,4,2.331188982364222e-18,2.7937399384112074e-16
N_lixi,Jours_op_recolte,Kruskal,792.8179794671761,1.5625601410400627e-171,0.0816755160348915,10000,4,2.0545019332860173e-12,3.794395302169654e-49
N_lixi,Jours_av_PREPA,Kruskal,440.1357358757089,2.6652583361833633e-96,0.041258465222171005,10000,3,3.2867575580121675e-11,3.590513515852043e-10
N_lixi,Jours_semis_F1,Kruskal,395.22404665592666,2.396873802978775e-85,0.03852178579565144,10000,4,4.230727080859066e-15,0.002873745957228487
N_lixi,n_ferti,Kruskal,347.0158232195913,6.604383270750917e-75,0.03402173744854255,10000,4,7.060369900035648e-18,6.027263165251141e-22
N_lixi,has_prepa,Kruskal,282.6027784948655,2.0342991100530986e-63,0.02525211439207176,10000,2,4.621005731814692e-12,1.481620903486308e-06
N_lixi,prepa_1,Kruskal,161.72722437430366,7.769122095367729e-35,0.014301712205255047,10000,4,5.396030272711282e-10,2.712185019151541e-05
N_lixi,Dose_F1_1,Kruskal,130.26684584749637,4.737695717969105e-28,0.01228457616795328,10000,4,1.2667298564923966e-13,4.507671410908809e-10
N_lixi,nb_f1,Kruskal,111.9740225146969,4.125499275970247e-24,0.01051088409006777,10000,4,2.2713210897023898e-11,1.5888469460207508e-07
N_lixi,nb_prepa,Kruskal,91.42769199334788,1.1574529790168983e-21,0.008203532433891136,10000,2,1.6223201591057987e-09,0.00028698195240763367
N_lixi,type_f2_2,Kruskal,56.27494888601811,3.670026364199582e-12,0.005243183577709689,10000,4,3.902696385312259e-11,0.03229318812370686
N_lixi,prepa_2,Kruskal,48.592965213957804,3.1499711348853665e-12,0.004660852874015987,10000,2,1.0280383998214786e-10,0.00022319900005026206
N_lixi,Jours_F2_F3,Kruskal,27.817583046857454,1.333090508990801e-07,0.002942704231735233,10000,2,4.664517760719832e-10,0.0487015559827094
N_lixi,nb_f3,Kruskal,29.521417604643133,1.7399700330137968e-06,0.0027867228045025134,10000,4,9.114796352642646e-10,0.06502577033680249
N_lixi,Dose_F1_2,Kruskal,16.563192148420836,4.705549618988558e-05,0.0015871763606937475,10000,2,9.873964388787134e-12,0.20113057946150104
N_lixi,Jours_F1_F2,Kruskal,10.815359778473189,0.001006614612152838,0.00150557640118911,10000,2,1.0698370259957277e-09,0.13662740255455558
N_lixi,type_f3_2,Kruskal,13.631058576408572,0.003452887728088639,0.001427550944677778,10000,4,9.461396701795197e-10,0.7855945565819286
N_lixi,nb_f2,Kruskal,7.419505529987881,0.006452054426195722,0.0008932829858287892,10000,2,2.2237113457080894e-09,0.44655393135513377
N_lixi,type_f2_1,Kruskal,5.563287931966005,0.13490192082931032,0.0007102333246488001,10000,4,6.836072170326249e-10,0.054776476209012374
N_lixi,Dose_F3_1,Kruskal,4.797188581028587,0.0285062180984903,0.0006977195189940277,10000,2,4.559858734069554e-09,0.055482854943738266
N_lixi,Dose_F3_2,Kruskal,5.358454401020725,0.02062204264597794,0.0006167558999281275,10000,2,3.0296375391483497e-10,0.3667758293469474
N_lixi,type_f1_2,Kruskal,4.464049911373689,0.2155194562518864,0.00024671321911458387,10000,4,5.121321098741498e-10,0.2799061498442992
N_lixi,Dose_F2_2,Kruskal,1.0316327971506698,0.30977547890040324,0.00016299593613953992,10000,2,2.810356232168634e-09,0.7948665595439862
N_lixi,type_f3_1,Kruskal,0.6243224376202815,0.8908424256907546,0.00011270408736754523,10000,4,2.1174949687939568e-11,0.7938011902447368
N_lixi,type_f1_1,Kruskal,0.0010050931640974482,0.9747087394956189,1.9995457008108237e-05,10000,2,4.153832581861178e-10,0.5384206311492701
N_lixi,Dose_F2_1,Kruskal,0.02827666624414003,0.8664600264493345,1.4393877810177807e-05,10000,2,1.116852462534008e-11,0.5284899352188975
dCorg,n_ferti,Kruskal,5051.112490597308,0.0,0.43226733895262487,10000,4,1.6066931410633783e-21,0.0
dCorg,Jours_semis_F1,Kruskal,4136.79445563497,0.0,0.38799359727400223,10000,4,2.291670254647329e-32,2.3323269838478544e-109
dCorg,Dose_F1_1,Kruskal,2713.277413044689,0.0,0.2244132507966137,10000,4,1.0907550641772436e-31,1.9752281122048872e-157
dCorg,Jours_op_recolte,Kruskal,1720.9734283734024,0.0,0.2133814300428817,10000,4,1.2482521607228494e-26,5.5185277634633506e-157
dCorg,type_f1_2,Kruskal,1726.0383444546387,0.0,0.15863910728893146,10000,4,3.383176011199674e-25,0.9821584180511632
dCorg,nb_f1,Kruskal,1899.5918797300371,0.0,0.15712922059957626,10000,4,1.6957670570698864e-28,2.8802375979688724e-37
dCorg,Jours_F1_F2,Kruskal,1458.089367834769,0.0,0.1410965685305129,10000,2,1.8651732597641714e-24,1.3822322928489257e-19
dCorg,Dose_F2_1,Kruskal,1004.2935896676707,2.0940943636887027e-220,0.0926383590514611,10000,2,2.60885632298261e-24,6.061133335254427e-11
dCorg,type_f2_1,Kruskal,945.6235547663013,1.1238590508302832e-204,0.09114590437487413,10000,4,1.0964376149100943e-23,1.6428606161307342e-26
dCorg,type_f1_1,Kruskal,971.8221299903176,2.394455129983666e-213,0.08853178677955238,10000,2,2.1838798040880064e-23,3.0428942657833085e-09
dCorg,Jours_F2_F3,Kruskal,835.3408453718635,1.1182271228583616e-183,0.08325724424456168,10000,2,1.4611700282076127e-22,4.6173850641787444e-58
dCorg,prepa_2,Kruskal,937.9260774270243,5.588998807618581e-206,0.07669156689036472,10000,2,2.2880461136375184e-26,0.2745966224129329
dCorg,nb_f2,Kruskal,640.1877872624614,3.0415777107925614e-141,0.06219147363877997,10000,2,1.8072277351156085e-22,6.592266663054317e-36
dCorg,Dose_F3_1,Kruskal,620.1754268654311,6.848610358988641e-137,0.060187807382116675,10000,2,4.6174475887202633e-23,1.0516076986895387e-35
dCorg,type_f3_1,Kruskal,665.9896513526145,4.9717484830004376e-144,0.06012565374058969,10000,4,3.187785582123828e-24,1.2392209298318075e-11
dCorg,nb_f3,Kruskal,597.0903098401986,4.306973753773006e-129,0.0500903097187155,10000,4,6.800449384555833e-24,0.0006053734988428251
dCorg,type_f3_2,Kruskal,494.291792892691,8.235854744851205e-107,0.048243677029553574,10000,4,3.989495827418179e-22,1.507540659845162e-36
dCorg,Dose_F2_2,Kruskal,428.4458091050911,3.5412693802153495e-95,0.03965805626224567,10000,2,2.4425568527006175e-22,4.395993435357956e-18
dCorg,Dose_F1_2,Kruskal,342.5880402667388,1.7428004715731334e-76,0.028712475179630964,10000,2,4.637274226781604e-23,9.435292705730435e-09
dCorg,Dose_F3_2,Kruskal,295.4824327838093,3.177032455307091e-66,0.028202051675413023,10000,2,1.4392799437436503e-21,1.37379952391072e-26
dCorg,Jours_av_PREPA,Kruskal,84.94596069786287,3.582770622366151e-19,0.0020587731758969986,10000,3,4.348424676062675e-22,7.303665803963952e-15
dCorg,Jour_Semis,Kruskal,63.27485799398558,1.173012572634051e-13,0.0014966969935202902,10000,4,2.0865435454630044e-23,0.006699036682395276
dCorg,has_prepa,Kruskal,101.93774259805252,5.7294425155646686e-24,0.001289306903422707,10000,2,1.558016163744762e-22,4.717153497124757e-07
dCorg,prepa_1,Kruskal,67.99639018397069,1.1460569812275331e-14,0.0012146266315539054,10000,4,1.0616807114602835e-22,0.00014599054822464152
dCorg,type_f2_2,Kruskal,30.669162056249107,9.979121267853435e-07,0.000679862524331898,10000,4,4.168349636545224e-23,0.003930562334619093
dCorg,nb_prepa,Kruskal,36.22804576963535,1.7552625963011732e-09,0.0006077366177730733,10000,2,2.4402790510106714e-22,0.00042066358960435204
rdt,n_ferti,Kruskal,4637.907171753744,0.0,0.5682411055449881,10000,4,8.872976419492614e-19,4.691486968848049e-130
rdt,Jours_semis_F1,Kruskal,2686.698583856467,0.0,0.34415993999221267,10000,4,1.5194089590281055e-20,8.39802272210023e-310
rdt,Dose_F1_1,Kruskal,2543.9857801845083,0.0,0.31503692921885085,10000,4,1.1833610172950423e-20,6.281733898410976e-99
rdt,nb_f1,Kruskal,1897.438644692809,0.0,0.23312708963592563,10000,4,6.943269445975335e-21,2.295142834427865e-202
rdt,type_f1_2,Kruskal,1274.3781252946794,5.336245085702884e-276,0.15763151095703584,10000,4,4.144772457131925e-21,0.0
