sortie,metamodele,parametre,Sobol_S1,Sobol_ST
N_lixi,ExtraTrees,Jour_Semis,0.5900511192658758,0.5190913560073149
N_lixi,ExtraTrees,Jours_op_recolte,0.184668407705925,0.30189349553532724
N_lixi,ExtraTrees,n_ferti,0.041644774976314775,0.17929360419376295
N_lixi,ExtraTrees,Jours_semis_F1,0.11167581577844068,0.1585676963320471
N_lixi,ExtraTrees,has_prepa,-0.00746325515084467,0.04657874434428918
N_lixi,ExtraTrees,Jours_av_PREPA,-0.007802315972049189,0.023763617937675587
N_lixi,ExtraTrees,Jours_F1_F2,0.01434279886955912,0.006686309677111422
N_lixi,ExtraTrees,type_f1_2,0.022921993103567483,0.0028178697859955223
N_lixi,ExtraTrees,nb_f1,0.010920658845851462,0.0027308992357873343
N_lixi,ExtraTrees,Jours_F2_F3,-0.0044904038507217045,0.00257967423239657
N_lixi,ExtraTrees,prepa_1,-0.010551714919201953,0.0013777065618508638
N_lixi,ExtraTrees,type_f2_1,0.010725331821279509,0.001078142602520313
N_lixi,ExtraTrees,nb_f3,0.004418515652062446,0.000983054527246944
N_lixi,ExtraTrees,type_f3_1,0.0015437747081231319,0.0009482940519542197
N_lixi,ExtraTrees,type_f2_2,-0.001396016356085963,0.0006019344256496449
N_lixi,ExtraTrees,Dose_F1_1,-2.9972913784046847e-05,0.00036247489036132064
N_lixi,ExtraTrees,type_f3_2,0.0003938967674113966,0.0003567169649555325
N_lixi,ExtraTrees,prepa_2,0.0005528683338304611,0.0003063637221654019
N_lixi,ExtraTrees,type_f1_1,-0.00019968866185775906,0.00026768719022455807
N_lixi,ExtraTrees,Dose_F2_1,0.0023611048132773363,0.0002572810545430873
N_lixi,ExtraTrees,nb_prepa,-0.0005347286307313796,0.00022744696890338145
N_lixi,ExtraTrees,Dose_F1_2,0.0012341225482024622,0.00014927134322135336
N_lixi,ExtraTrees,nb_f2,0.0009473065535475156,0.00011432574347645777
N_lixi,ExtraTrees,Dose_F3_1,0.0011290787186524227,0.00010807233196244033
N_lixi,ExtraTrees,Dose_F2_2,-0.0011676923216854512,9.088081383223362e-05
N_lixi,ExtraTrees,Dose_F3_2,0.0010345794277413257,2.877475178469156e-05
dCorg,ExtraTrees,n_ferti,0.4359585257641532,0.6121716316846946
dCorg,ExtraTrees,Jours_op_recolte,0.26604937554246194,0.37642254825657356
dCorg,ExtraTrees,Jours_semis_F1,0.0928465562077402,0.1831738991751224
dCorg,ExtraTrees,Jours_F1_F2,0.031984885571066574,0.010924206927098359
dCorg,ExtraTrees,Jours_F2_F3,0.006267619467075056,0.003497888611966825
dCorg,ExtraTrees,has_prepa,-0.007525773132048501,0.003167585807538723
dCorg,ExtraTrees,Jours_av_PREPA,-0.008726516170584092,0.0015690596066284975
dCorg,ExtraTrees,Jour_Semis,-0.002869199444018647,0.0013626415307699661
dCorg,ExtraTrees,type_f1_2,0.00034046010236400286,0.0001317127711416353
dCorg,ExtraTrees,nb_f1,-0.0005671522152369834,0.00010856550531134026
dCorg,ExtraTrees,prepa_1,0.00041304938981512513,5.049525392292473e-05
dCorg,ExtraTrees,nb_f3,0.00010035172287678458,4.842946121867992e-05
dCorg,ExtraTrees,type_f2_1,0.0007035080033229507,4.60218534506259e-05
dCorg,ExtraTrees,prepa_2,0.00022066163565252246,2.7710278868520148e-05
dCorg,ExtraTrees,type_f3_1,-0.00023024284065273332,2.5382628379967467e-05
dCorg,ExtraTrees,Dose_F1_1,-0.00037752537988973553,1.807167970182581e-05
dCorg,ExtraTrees,type_f1_1,-0.00035988006868778666,1.7742037592543326e-05
dCorg,ExtraTrees,type_f2_2,0.00042244907859471817,1.5595413683074086e-05
dCorg,ExtraTrees,Dose_F2_1,0.0003221035439935902,1.1217344029999995e-05
dCorg,ExtraTrees,type_f3_2,-0.00018512102414271393,9.822297101793627e-06
dCorg,ExtraTrees,nb_prepa,7.268697522775527e-05,9.259000303648974e-06
dCorg,ExtraTrees,nb_f2,1.0226401483528204e-05,8.887950992688708e-06
dCorg,ExtraTrees,Dose_F1_2,5.97597653426041e-05,5.829301172463327e-06
dCorg,ExtraTrees,Dose_F3_1,-0.0001458076490813491,4.160171338839802e-06
dCorg,ExtraTrees,Dose_F2_2,-1.5444251906338603e-05,3.6637172936939645e-06
dCorg,ExtraTrees,Dose_F3_2,9.323640724398037e-05,1.5644073450537142e-06
rdt,ExtraTrees,n_ferti,0.4615664285869083,0.7762706934362674
rdt,ExtraTrees,Jours_op_recolte,0.031187557324362878,0.22977425276744437
rdt,ExtraTrees,Jours_semis_F1,0.40388616743032385,0.17995762056519005
rdt,ExtraTrees,Jour_Semis,-0.07757695432375136,0.046549318624102914
rdt,ExtraTrees,has_prepa,0.07545369367248095,0.024273333511344777
rdt,ExtraTrees,Jours_av_PREPA,0.14463512278058857,0.013363215439142909
rdt,ExtraTrees,Jours_F1_F2,-0.06456529620943456,0.008191835414961796
rdt,ExtraTrees,Jours_F2_F3,0.009457794131199236,0.0018939442727823137
rdt,ExtraTrees,nb_f1,-0.002667772921445189,0.0008597501580608666
rdt,ExtraTrees,type_f1_2,-0.014055401963492802,0.00042278726870788156
rdt,ExtraTrees,nb_f3,0.002592069084692911,0.0003913794021243374
rdt,ExtraTrees,prepa_1,7.77728854401987e-05,0.000374564966277629
rdt,ExtraTrees,type_f2_1,-0.009677400623100386,0.0002116215180032765
rdt,ExtraTrees,type_f3_1,-0.015036991371325647,0.0001659566864801199
rdt,ExtraTrees,type_f2_2,-0.008642330471573466,0.00016449765380575787
rdt,ExtraTrees,Dose_F1_1,-0.007803200410967053,0.0001225610796566123
rdt,ExtraTrees,prepa_2,-0.006987428943263833,0.00010834366160539893
rdt,ExtraTrees,nb_prepa,-0.0035860505335361522,9.194941297518427e-05
