feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,Milieu (Climat),Milieu (Sol),N_lixi,dCorg,rdt,point_idx,parcelle
2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,316.24606646194565,23.2588960142081,200.2233196822026,57.31801945982821,30.5,14.490331851282683,30.601998809553663,55.0,66.89940422607673,55.0,55.0,55.0,0,0,3.0620000000000003,-218.56199999999998,4.515,0,beauce_5_sa_000
0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.03850998476196,16.77420410814993,175.0,30.5,30.5,89.62881293956713,55.0,55.0,55.0,55.0,55.0,55.0,0,0,2.8259999999999996,-121.976,3.9399999999999995,1,beauce_5_sa_001
3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,278.4396325595281,15.5,242.57546921610623,16.2891985968714,53.02877333399238,188.73599729625016,75.69016486594924,36.614820309139404,48.886687564042674,43.587696184527545,67.89822799961121,55.0,0,0,4.106,-353.97,4.25,2,beauce_5_sa_002
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,285.28413841582915,28.117205064142993,123.85481294569605,30.5,30.5,114.41762129136158,79.64189384770177,55.0,55.0,55.0,55.0,55.0,0,0,2.7880000000000003,-151.118,4.390000000000001,3,beauce_5_sa_003
1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.2432476096591,9.19715924928778,238.17011905107938,30.5,30.5,187.45079167029263,38.89693201972182,55.0,55.0,55.0,55.0,55.0,0,0,4.474,-339.14,4.325,4,beauce_5_sa_004
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,319.6465942994446,5.984469010634205,175.0,30.5,30.5,129.36581939066676,55.0,55.0,55.0,55.0,55.0,55.0,0,0,4.0120000000000005,-122.024,3.85,5,beauce_5_sa_005
1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.1707744277792,17.454352756456583,133.02791051560817,30.5,30.5,91.59138134391301,54.09690059768927,55.0,55.0,55.0,55.0,55.0,0,0,2.874,-135.9,4.145,6,beauce_5_sa_006
2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,314.4866326441737,15.5,166.86841917383026,46.544233534540105,30.5,180.66696845811228,94.94685245087122,30.47999949188209,28.65157712562109,55.0,55.0,55.0,0,0,5.1240000000000006,-347.09200000000004,4.175,7,beauce_5_sa_007
3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,301.6049271244569,9.778428687771223,201.1099910698357,30.281968203916794,54.2959803693573,159.43884992057644,26.32425597131749,86.19050444432462,88.07022828073751,55.0,56.04921250949655,22.611384309584718,0,0,4.58,-338.74,4.3,8,beauce_5_sa_008
3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,265.91208652513603,15.5,144.42635121578041,15.364688499860307,2.1739023660523324,116.96618361591705,43.53402865662291,20.700010244345915,81.25437396926523,65.26045730252854,12.31943161076878,48.09188812033015,0,0,2.256,-201.14000000000001,4.485,9,beauce_5_sa_009
