idParcelle;surface [m2];zone_pedo;matIrr
beauce_5_sa_000;12011.17460819334;limoneux;null
beauce_5_sa_001;12011.17460819334;limoneux;null
beauce_5_sa_002;12011.17460819334;limoneux;null
beauce_5_sa_003;12011.17460819334;limoneux;null
beauce_5_sa_004;12011.17460819334;limoneux;null
beauce_5_sa_005;12011.17460819334;limoneux;null
beauce_5_sa_006;12011.17460819334;limoneux;null
beauce_5_sa_007;12011.17460819334;limoneux;null
beauce_5_sa_008;12011.17460819334;limoneux;null
beauce_5_sa_009;12011.17460819334;limoneux;null
beauce_5_sa_010;12011.17460819334;limoneux;null
beauce_5_sa_011;12011.17460819334;limoneux;null
beauce_5_sa_012;12011.17460819334;limoneux;null
beauce_5_sa_013;12011.17460819334;limoneux;null
beauce_5_sa_014;12011.17460819334;limoneux;null
beauce_5_sa_015;12011.17460819334;limoneux;null
beauce_5_sa_016;12011.17460819334;limoneux;null
beauce_5_sa_017;12011.17460819334;limoneux;null
beauce_5_sa_018;12011.17460819334;limoneux;null
beauce_5_sa_019;12011.17460819334;limoneux;null
beauce_5_sa_020;12011.17460819334;limoneux;null
beauce_5_sa_021;12011.17460819334;limoneux;null
beauce_5_sa_022;12011.17460819334;limoneux;null
beauce_5_sa_023;12011.17460819334;limoneux;null
beauce_5_sa_024;12011.17460819334;limoneux;null
beauce_5_sa_025;12011.17460819334;limoneux;null
beauce_5_sa_026;12011.17460819334;limoneux;null
beauce_5_sa_027;12011.17460819334;limoneux;null
beauce_5_sa_028;12011.17460819334;limoneux;null
beauce_5_sa_029;12011.17460819334;limoneux;null
beauce_5_sa_030;12011.17460819334;limoneux;null
beauce_5_sa_031;12011.17460819334;limoneux;null
beauce_5_sa_032;12011.17460819334;limoneux;null
beauce_5_sa_033;12011.17460819334;limoneux;null
beauce_5_sa_034;12011.17460819334;limoneux;null
beauce_5_sa_035;12011.17460819334;limoneux;null
beauce_5_sa_036;12011.17460819334;limoneux;null
beauce_5_sa_037;12011.17460819334;limoneux;null
beauce_5_sa_038;12011.17460819334;limoneux;null
beauce_5_sa_039;12011.17460819334;limoneux;null
beauce_5_sa_040;12011.17460819334;limoneux;null
beauce_5_sa_041;12011.17460819334;limoneux;null
beauce_5_sa_042;12011.17460819334;limoneux;null
beauce_5_sa_043;12011.17460819334;limoneux;null
beauce_5_sa_044;12011.17460819334;limoneux;null
beauce_5_sa_045;12011.17460819334;limoneux;null
beauce_5_sa_046;12011.17460819334;limoneux;null
beauce_5_sa_047;12011.17460819334;limoneux;null
beauce_5_sa_048;12011.17460819334;limoneux;null
beauce_5_sa_049;12011.17460819334;limoneux;null
beauce_5_sa_050;12011.17460819334;limoneux;null
beauce_5_sa_051;12011.17460819334;limoneux;null
beauce_5_sa_052;12011.17460819334;limoneux;null
beauce_5_sa_053;12011.17460819334;limoneux;null
beauce_5_sa_054;12011.17460819334;limoneux;null
beauce_5_sa_055;12011.17460819334;limoneux;null
beauce_5_sa_056;12011.17460819334;limoneux;null
beauce_5_sa_057;12011.17460819334;limoneux;null
beauce_5_sa_058;12011.17460819334;limoneux;null
beauce_5_sa_059;12011.17460819334;limoneux;null
beauce_5_sa_060;12011.17460819334;limoneux;null
beauce_5_sa_061;12011.17460819334;limoneux;null
beauce_5_sa_062;12011.17460819334;limoneux;null
beauce_5_sa_063;12011.17460819334;limoneux;null
beauce_5_sa_064;12011.17460819334;limoneux;null
beauce_5_sa_065;12011.17460819334;limoneux;null
beauce_5_sa_066;12011.17460819334;limoneux;null
beauce_5_sa_067;12011.17460819334;limoneux;null
beauce_5_sa_068;12011.17460819334;limoneux;null
beauce_5_sa_069;12011.17460819334;limoneux;null
beauce_5_sa_070;12011.17460819334;limoneux;null
beauce_5_sa_071;12011.17460819334;limoneux;null
beauce_5_sa_072;12011.17460819334;limoneux;null
beauce_5_sa_073;12011.17460819334;limoneux;null
beauce_5_sa_074;12011.17460819334;limoneux;null
beauce_5_sa_075;12011.17460819334;limoneux;null
beauce_5_sa_076;12011.17460819334;limoneux;null
beauce_5_sa_077;12011.17460819334;limoneux;null
beauce_5_sa_078;12011.17460819334;limoneux;null
beauce_5_sa_079;12011.17460819334;limoneux;null
beauce_5_sa_080;12011.17460819334;limoneux;null
beauce_5_sa_081;12011.17460819334;limoneux;null
beauce_5_sa_082;12011.17460819334;limoneux;null
beauce_5_sa_083;12011.17460819334;limoneux;null
beauce_5_sa_084;12011.17460819334;limoneux;null
beauce_5_sa_085;12011.17460819334;limoneux;null
beauce_5_sa_086;12011.17460819334;limoneux;null
beauce_5_sa_087;12011.17460819334;limoneux;null
beauce_5_sa_088;12011.17460819334;limoneux;null
beauce_5_sa_089;12011.17460819334;limoneux;null
beauce_5_sa_090;12011.17460819334;limoneux;null
beauce_5_sa_091;12011.17460819334;limoneux;null
beauce_5_sa_092;12011.17460819334;limoneux;null
beauce_5_sa_093;12011.17460819334;limoneux;null
beauce_5_sa_094;12011.17460819334;limoneux;null
beauce_5_sa_095;12011.17460819334;limoneux;null
beauce_5_sa_096;12011.17460819334;limoneux;null
beauce_5_sa_097;12011.17460819334;limoneux;null
beauce_5_sa_098;12011.17460819334;limoneux;null
beauce_5_sa_099;12011.17460819334;limoneux;null
