annee;jourDebut;jourFin;parcelle;couvert;itk;evaporation[mm];transpiration[mm];percolation[mm];capilarite[mm];ruissellement[mm];Hr_debut[mm];Hm_debut[mm];Hr_fin[mm];Hm_fin[mm];Hr_1erJanv[mm];Hm_1erJanv[mm];satisfactionHydrique[%];pluie[mm];irrigation[mm];sommeDegresJourCulture[°C]
2019;213;281;beauce_5_sa_000;solnu;;100.71;0.0;0.0;0.01;0.0;45.53;248.32;16.49;219.28;-1.0;-1.0;0.0;71.67;0.0;0.0
2019;282;365;beauce_5_sa_000;orgeh;orgeH_tousSols_nonirr_organique;38.88;0.21;13.22;0.85;0.0;15.9;218.69;56.91;310.4;-1.0;-1.0;90.18;144.24;0.0;633.81
2019;213;282;beauce_5_sa_001;solnu;;100.86;0.0;0.0;0.01;0.0;45.53;248.32;16.34;219.13;-1.0;-1.0;0.0;71.67;0.0;0.0
2019;283;365;beauce_5_sa_001;orgeh;orgeH_tousSols_nonirr_organique;38.35;0.17;13.64;0.73;0.0;15.65;218.44;56.91;310.4;-1.0;-1.0;89.72;144.24;0.0;624.32
2019;213;311;beauce_5_sa_002;solnu;;118.96;0.0;0.0;0.04;0.0;45.53;248.32;56.91;271.92;-1.0;-1.0;0.0;142.56;0.0;0.0
2019;312;365;beauce_5_sa_002;orgeh;orgeH_tousSols_nonirr_organique;21.89;0.0;12.16;0.38;0.0;55.92;270.93;56.91;310.4;-1.0;-1.0;98.15;73.35;0.0;334.65
2019;213;294;beauce_5_sa_003;solnu;;107.82;0.0;0.0;0.01;0.0;45.53;248.32;35.03;237.82;-1.0;-1.0;0.0;101.68;0.0;0.0
2019;295;365;beauce_5_sa_003;orgeh;orgeH_tousSols_nonirr_organique;32.84;0.03;12.32;0.83;0.0;38.98;241.77;56.91;310.4;-1.0;-1.0;96.06;114.22;0.0;487.09
2019;213;290;beauce_5_sa_004;solnu;;105.1;0.0;0.0;0.01;0.0;45.53;248.32;18.46;221.25;-1.0;-1.0;0.0;86.42;0.0;0.0
2019;291;365;beauce_5_sa_004;orgeh;orgeH_tousSols_nonirr_organique;35.21;0.06;12.65;0.83;0.0;26.37;229.15;56.91;310.4;-1.0;-1.0;93.72;129.48;0.0;529.57
2019;213;297;beauce_5_sa_005;solnu;;110.21;0.0;0.0;0.01;0.0;45.53;248.32;37.76;240.55;-1.0;-1.0;0.0;102.81;0.0;0.0
2019;298;365;beauce_5_sa_005;orgeh;orgeH_tousSols_nonirr_organique;30.62;0.01;12.17;0.81;0.0;37.65;240.44;56.91;310.4;-1.0;-1.0;97.35;113.09;0.0;455.91
2019;213;285;beauce_5_sa_006;solnu;;102.94;0.0;0.0;0.01;0.0;45.53;248.32;17.5;220.29;-1.0;-1.0;0.0;77.4;0.0;0.0
2019;286;365;beauce_5_sa_006;orgeh;orgeH_tousSols_nonirr_organique;37.29;0.12;12.67;0.88;0.0;19.67;222.46;56.91;310.4;-1.0;-1.0;91.11;138.51;0.0;589.85
2019;213;287;beauce_5_sa_007;solnu;;103.76;0.0;0.0;0.01;0.0;45.53;248.32;19.17;221.96;-1.0;-1.0;0.0;78.02;0.0;0.0
2019;288;365;beauce_5_sa_007;orgeh;orgeH_tousSols_nonirr_organique;36.65;0.09;12.51;0.88;0.0;19.41;222.2;56.91;310.4;-1.0;-1.0;92.0;137.88;0.0;567.78
2019;213;292;beauce_5_sa_008;solnu;;105.88;0.0;0.0;0.01;0.0;45.53;248.32;35.33;238.12;-1.0;-1.0;0.0;97.32;0.0;0.0
2019;293;365;beauce_5_sa_008;orgeh;orgeH_tousSols_nonirr_organique;34.66;0.04;12.43;0.83;0.0;35.98;238.77;56.91;310.4;-1.0;-1.0;95.07;118.58;0.0;507.81
2019;213;306;beauce_5_sa_009;solnu;;116.17;0.0;0.0;0.01;0.0;45.53;248.32;56.91;264.73;-1.0;-1.0;0.0;137.53;0.0;0.0
2019;307;365;beauce_5_sa_009;orgeh;orgeH_tousSols_nonirr_organique;24.83;0.0;12.01;0.52;0.0;56.91;268.89;56.91;310.4;-1.0;-1.0;98.31;78.38;0.0;378.84
2019;213;289;beauce_5_sa_010;solnu;;104.58;0.0;0.0;0.01;0.0;45.53;248.32;18.98;221.77;-1.0;-1.0;0.0;78.02;0.0;0.0
2019;290;365;beauce_5_sa_010;orgeh;orgeH_tousSols_nonirr_organique;35.66;0.07;12.7;0.83;0.0;18.46;221.25;56.91;310.4;-1.0;-1.0;93.27;137.88;0.0;543.42
2019;213;281;beauce_5_sa_011;solnu;;100.71;0.0;0.0;0.01;0.0;45.53;248.32;16.49;219.28;-1.0;-1.0;0.0;71.67;0.0;0.0
2019;282;365;beauce_5_sa_011;orgeh;orgeH_tousSols_nonirr_organique;38.88;0.21;13.22;0.85;0.0;15.9;218.69;56.91;310.4;-1.0;-1.0;90.18;144.24;0.0;633.81
2019;213;296;beauce_5_sa_012;solnu;;109.14;0.0;0.0;0.01;0.0;45.53;248.32;38.07;240.86;-1.0;-1.0;0.0;102.44;0.0;0.0
2019;297;365;beauce_5_sa_012;orgeh;orgeH_tousSols_nonirr_organique;31.71;0.02;12.15;0.81;0.0;37.7;240.49;56.91;310.4;-1.0;-1.0;96.9;113.47;0.0;464.28
2019;213;303;beauce_5_sa_013;solnu;;113.84;0.0;0.0;0.01;0.0;45.53;248.32;49.19;251.97;-1.0;-1.0;0.0;118.19;0.0;0.0
2019;304;365;beauce_5_sa_013;orgeh;orgeH_tousSols_nonirr_organique;27.01;0.0;12.16;0.71;0.0;49.05;251.84;56.91;310.4;-1.0;-1.0;98.36;97.72;0.0;406.45
2019;213;301;beauce_5_sa_014;solnu;;113.09;0.0;0.0;0.01;0.0;45.53;248.32;44.11;246.9;-1.0;-1.0;0.0;113.79;0.0;0.0
2019;302;365;beauce_5_sa_014;orgeh;orgeH_tousSols_nonirr_organique;27.91;0.0;12.01;0.73;0.0;45.87;248.66;56.91;310.4;-1.0;-1.0;98.34;102.11;0.0;421.57
2019;213;289;beauce_5_sa_015;solnu;;104.93;0.0;0.0;0.01;0.0;45.53;248.32;18.63;221.42;-1.0;-1.0;0.0;78.02;0.0;0.0
2019;290;365;beauce_5_sa_015;orgeh;orgeH_tousSols_nonirr_organique;35.75;0.07;12.26;0.83;0.0;18.09;220.88;56.91;310.4;-1.0;-1.0;92.26;137.88;0.0;543.42
2019;213;274;beauce_5_sa_016;solnu;;95.96;0.0;0.0;0.01;0.0;45.53;248.32;18.78;221.57;-1.0;-1.0;0.0;69.21;0.0;0.0
