annee;jourDebut;jourFin;parcelle;couvert;itk;N_lixivie[kgN/ha];N_volatilise_NH3[kgN/ha];N_mineralise_net_SOM[kgN/ha];N_mineralise_net_residus[kgN/ha];N_acquis_couvert[kgN/ha];N_mineral_debut[kgN/ha];N_mineral_fin[kgN/ha];emissions_N2O_directes[kgN/ha];emissions_N2[kgN/ha];N_fixe_legumineuses[kgN/ha];satisfactionAzote_culture[%];satisfactionAzote_ci[%];delta_Corg[kgC/ha];emissions_N2O_denit[kgN-N2O/ha];emissions_N2O_nit[kgN-N2O/ha];emissions_N2O_indirectes_volat[kgN-N2O/ha];emissions_N2O_indirectes_lixiv[kgN-N2O/ha]
2019;213;276;sudouest_1_1;solnu;;6.44;0.0;39.58;0.0;0.0;35.0;33.88;8.6;25.66;0;0;0;-430.56;8.58;0.02;0.0;6.44
2019;277;365;sudouest_1_1;maisT;mais_tousSols_nonirr_organique;20.49;0.0;19.79;0.0;18.63;34.16;10.33;0.76;3.47;0;6.05;0;-220.86;0.75;0.01;0.0;20.49
2019;213;268;beauce_1_1;solnu;;0.0;0.0;21.2;0.0;0.0;35.0;43.43;8.65;4.12;0;0;0;-229.72;8.63;0.01;0.0;0.0
2019;269;365;beauce_1_1;orgeh;orgeH_tousSols_nonirr_organique;2.14;0.0;15.05;0.0;40.14;43.54;14.8;1.18;0.22;0;20.07;0;-168.19;1.17;0.01;0.0;2.14
2019;213;319;sudouest_2_1;solnu;;21.9;0.0;52.1;0.0;0.0;35.0;26.72;9.36;29.13;0;0;0;-569.19;9.32;0.03;0.0;21.9
2019;320;365;sudouest_2_1;maisT;mais_tousSols_nonirr_mineral;5.49;0.0;7.27;0.0;0.0;26.89;28.49;0.0;0.0;0;0.0;0;-82.14;0.0;0.0;0.0;5.49
2019;213;286;sudouest_3_1;solnu;;0.94;0.0;49.14;0.0;0.0;35.0;82.96;0.21;0.03;0;0;0;-544.97;0.18;0.03;0.0;0.94
2019;287;365;sudouest_3_1;maisT;mais_tousSols_irr_organique;23.34;0.0;19.55;0.0;15.71;83.24;63.22;0.2;0.04;0;5.1;0;-222.24;0.19;0.01;0.0;23.34
2019;213;286;sudouest_4_1;solnu;;0.94;0.0;49.14;0.0;0.0;35.0;82.96;0.21;0.03;0;0;0;-544.97;0.18;0.03;0.0;0.94
2019;287;365;sudouest_4_1;maisT;mais_tousSols_irr_mineral;23.34;0.0;19.55;0.0;15.71;83.24;63.22;0.2;0.04;0;5.1;0;-222.24;0.19;0.01;0.0;23.34
2019;213;280;sudouest_5_1;solnu;;0.94;0.0;46.98;0.0;0.0;35.0;80.8;0.21;0.03;0;0;0;-519.19;0.18;0.03;0.0;0.94
2019;281;365;sudouest_5_1;maisT;mais_tousSols_nonirr_organique;23.2;0.0;21.71;0.0;20.07;80.98;59.03;0.18;0.04;0;6.52;0;-248.08;0.17;0.01;0.0;23.2
2019;213;292;beauce_2_1;solnu;;0.0;0.0;25.85;0.0;0.0;35.0;45.3;10.77;4.78;0;0;0;-281.72;10.76;0.02;0.0;0.0
2019;293;365;beauce_2_1;orgeh;orgeH_tousSols_nonirr_mineral;2.15;0.0;10.38;0.0;10.1;45.15;32.76;1.57;9.1;0;5.05;0;-116.01;1.57;0.01;0.0;2.15
2019;213;299;sudouest_6_1;solnu;;3.81;0.0;53.37;0.0;0.0;35.0;84.25;0.29;0.03;0;0;0;-594.62;0.25;0.03;0.0;3.81
2019;300;365;sudouest_6_1;maisT;mais_tousSols_nonirr_mineral;20.45;0.0;15.32;0.0;0.0;84.63;78.94;0.14;0.04;0;0.0;0;-172.57;0.13;0.01;0.0;20.45
2019;213;313;sudouest_7_1;solnu;;21.9;0.0;50.33;0.0;0.0;35.0;24.95;9.35;29.13;0;0;0;-551.27;9.32;0.03;0.0;21.9
2019;314;365;sudouest_7_1;maisT;mais_tousSols_irr_organique;5.5;0.0;9.04;0.0;0.0;25.24;28.49;0.01;0.0;0;0.0;0;-100.06;0.0;0.01;0.0;5.5
2019;213;278;sudouest_8_1;solnu;;6.44;0.0;40.18;0.0;0.0;35.0;34.48;8.6;25.66;0;0;0;-438.53;8.58;0.02;0.0;6.44
2019;279;365;sudouest_8_1;maisT;mais_tousSols_irr_mineral;20.69;0.0;19.2;0.0;18.21;34.23;10.55;0.76;3.47;0;5.91;0;-212.88;0.75;0.01;0.0;20.69
2019;213;314;sudouest_9_1;solnu;;14.54;0.0;47.33;0.0;0.0;35.0;43.99;15.0;8.81;0;0;0;-517.69;14.97;0.03;0.0;14.54
2019;315;365;sudouest_9_1;maisT;mais_tousSols_nonirr_organique;6.28;0.0;8.28;0.0;0.0;44.14;42.29;1.67;2.04;0;0.0;0;-92.39;1.66;0.0;0.0;6.28
2019;213;286;beauce_3_1;solnu;;0.0;0.0;20.28;0.0;0.0;35.0;55.27;0.01;0.0;0;0;0;-225.27;0.0;0.01;0.0;0.0
2019;287;365;beauce_3_1;orgeh;orgeH_tousSols_irr_organique;0.28;0.0;12.9;0.0;18.08;55.34;49.74;0.07;0.0;0;9.04;0;-145.32;0.06;0.01;0.0;0.28
2019;213;269;beauce_4_1;solnu;;0.0;0.0;17.92;0.0;0.0;35.0;52.91;0.01;0.0;0;0;0;-198.59;0.0;0.01;0.0;0.0
2019;270;365;beauce_4_1;orgeh;orgeH_tousSols_irr_mineral;0.35;0.0;15.25;0.0;34.31;53.12;33.44;0.05;0.0;0;17.15;0;-171.87;0.04;0.01;0.0;0.35
2019;213;318;beauce_5_1;solnu;;0.0;0.0;26.02;0.0;0.0;35.0;60.98;0.04;0.0;0;0;0;-290.23;0.03;0.02;0.0;0.0
2019;319;365;beauce_5_1;orgeh;orgeH_tousSols_nonirr_organique;0.27;0.0;7.15;0.0;2.05;61.35;65.76;0.06;0.0;0;1.02;0;-80.32;0.05;0.0;0.0;0.27
2019;213;262;beauce_6_1;solnu;;0.0;0.0;16.32;0.0;0.0;35.0;51.31;0.01;0.0;0;0;0;-180.61;0.0;0.01;0.0;0.0
2019;263;365;beauce_6_1;orgeh;orgeH_tousSols_nonirr_mineral;0.34;0.0;16.98;0.0;44.8;51.61;23.11;0.03;0.0;0;22.4;0;-191.3;0.02;0.01;0.0;0.34
2019;213;274;beauce_7_1;solnu;;0.0;0.0;22.81;0.0;0.0;35.0;44.28;9.29;4.24;0;0;0;-248.44;9.27;0.01;0.0;0.0
2019;275;365;beauce_7_1;orgeh;orgeH_tousSols_irr_organique;2.13;0.0;13.43;0.0;30.21;44.37;23.62;1.3;0.45;0;15.11;0;-149.38;1.29;0.01;0.0;2.13
2019;213;268;beauce_8_1;solnu;;0.0;0.0;21.2;0.0;0.0;35.0;43.43;8.65;4.12;0;0;0;-229.73;8.64;0.01;0.0;0.0
2019;269;365;beauce_8_1;orgeh;orgeH_tousSols_irr_mineral;2.14;0.0;15.05;0.0;40.61;43.54;14.41;1.12;0.21;0;20.3;0;-168.23;1.11;0.01;0.0;2.14
2019;213;312;sudouest_10_1;solnu;;14.53;0.0;46.86;0.0;0.0;35.0;43.73;14.89;8.71;0;0;0;-511.97;14.86;0.03;0.0;14.53
