annee;date;parcelle;exploitation;culture;situation;masse_C[kg/ha];masse_N[kg/ha];ratio_CN;nom_produit;type_residu;type_pool;Kres;Hres;CNbio;Yres
2020;264;sudouest_1_1;organique_sudouest_1;maisT;incorpore;1167.0;10.208478272843337;114.31674425996098;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;264;sudouest_1_1;organique_sudouest_1;maisT;surface;2024.0577041284125;17.70569759689466;114.31674425996098;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;326;beauce_1_1;organique_beauce_1;orgeh;incorpore;644.0;6.600443702151662;97.56919823284971;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;326;beauce_1_1;organique_beauce_1;orgeh;surface;1737.6042269752468;17.80894235523428;97.56919823284971;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;139;sudouest_2_1;mineral_sudouest_2;maisT;incorpore;1167.0;8.443537069603096;138.21221963970805;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;139;sudouest_2_1;mineral_sudouest_2;maisT;surface;1017.9060977336322;7.36480537239842;138.21221963970805;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;362;sudouest_3_1;organique_sudouest_3;maisT;incorpore;1167.0;10.731173405494237;108.74859215325972;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;362;sudouest_3_1;organique_sudouest_3;maisT;surface;2372.368677382423;21.815166802702482;108.74859215325971;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;96;sudouest_4_1;mineral_sudouest_4;maisT;incorpore;1167.0;9.346554514547666;124.85884484850489;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;96;sudouest_4_1;mineral_sudouest_4;maisT;surface;1475.9935878075198;11.821297799113779;124.8588448485049;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;149;sudouest_5_1;organique_sudouest_5;maisT;incorpore;1167.0;8.710376309366035;133.97813809090613;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;149;sudouest_5_1;organique_sudouest_5;maisT;surface;1137.863541317708;8.492904570338565;133.97813809090613;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;145;beauce_2_1;mineral_beauce_2;orgeh;incorpore;644.0;5.9872725073069635;107.56149803003822;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;145;beauce_2_1;mineral_beauce_2;orgeh;surface;1284.4357519424207;11.941408175476711;107.56149803003822;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;139;sudouest_6_1;mineral_sudouest_6;maisT;incorpore;1167.0;9.519407812426094;122.59165937577173;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;139;sudouest_6_1;mineral_sudouest_6;maisT;surface;1579.4378241942447;12.883729873929704;122.59165937577173;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;147;sudouest_7_1;organique_sudouest_7;maisT;incorpore;1167.0;8.659262633001669;134.7689808543742;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;147;sudouest_7_1;organique_sudouest_7;maisT;surface;1113.8716736600882;8.265044868623677;134.7689808543742;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;205;sudouest_9_1;organique_sudouest_9;maisT;incorpore;1167.0;9.960502335109117;117.16276556519833;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;205;sudouest_9_1;organique_sudouest_9;maisT;surface;1859.828152962;15.873884027831775;117.16276556519831;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;233;beauce_3_1;organique_beauce_3;orgeh;incorpore;644.0;6.8819830337002434;93.57767911464028;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;233;beauce_3_1;organique_beauce_3;orgeh;surface;1923.7005323352391;20.557258424613728;93.57767911464029;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;226;beauce_4_1;mineral_beauce_4;orgeh;incorpore;644.0;6.879868215433241;93.60644416928643;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;226;beauce_4_1;mineral_beauce_4;orgeh;surface;1922.3753100451288;20.536783841169417;93.60644416928643;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;249;beauce_5_1;organique_beauce_5;orgeh;incorpore;644.0;6.838305284985197;94.17538017994382;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;249;beauce_5_1;organique_beauce_5;orgeh;surface;1896.0988522646085;20.13370000356435;94.1753801799438;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;244;beauce_6_1;mineral_beauce_6;orgeh;incorpore;644.0;6.870012088413886;93.74073752884523;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;244;beauce_6_1;mineral_beauce_6;orgeh;surface;1916.1839950695742;20.441315543095012;93.74073752884524;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;115;beauce_7_1;organique_beauce_7;orgeh;incorpore;644.0;6.219449800892801;103.54613681543887;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;115;beauce_7_1;organique_beauce_7;orgeh;surface;1460.3627914039141;14.103498559360759;103.54613681543887;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;215;beauce_8_1;mineral_beauce_8;orgeh;incorpore;644.0;6.628530140599273;97.15577757662231;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;215;beauce_8_1;mineral_beauce_8;orgeh;surface;1757.0020203228528;18.08438020000597;97.15577757662233;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;110;sudouest_10_1;mineral_sudouest_10;maisT;incorpore;1167.0;8.409533002172848;138.77108273413893;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;110;sudouest_10_1;mineral_sudouest_10;maisT;surface;1003.5509940794658;7.231701117458986;138.77108273413893;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;136;sudouest_11_1;organique_sudouest_11;maisT;incorpore;1167.0;7.982278510781868;146.19885768502104;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;136;sudouest_11_1;organique_sudouest_11;maisT;surface;840.2389493829378;5.74723334154358;146.19885768502104;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;256;oceanique_1_1;organique_oceanique_1;CP;incorpore;846.0;7.793963446342779;108.5455437178083;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;256;oceanique_1_1;organique_oceanique_1;CP;surface;1670.0640357010793;15.385836935349783;108.54554371780829;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;285;oceanique_2_1;mineral_oceanique_2;CP;incorpore;846.0;7.386829374734911;114.52816317831358;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;285;oceanique_2_1;mineral_oceanique_2;CP;surface;1371.8331691670965;11.978129493190536;114.52816317831359;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;95;sudouest_12_1;mineral_sudouest_12;maisT;incorpore;1167.0;9.042985058363204;129.05030722357836;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;95;sudouest_12_1;mineral_sudouest_12;maisT;surface;1305.7337079928527;10.118020918235262;129.05030722357833;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;159;sudouest_13_1;organique_sudouest_13;maisT;incorpore;1167.0;9.195243677178008;126.91343927039341;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;159;sudouest_13_1;organique_sudouest_13;maisT;surface;1389.1992742948746;10.94603756923755;126.91343927039343;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;269;sudouest_14_1;mineral_sudouest_14;maisT;incorpore;1167.0;10.062828556021193;115.97136863687437;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;269;sudouest_14_1;mineral_sudouest_14;maisT;surface;1927.2444446829868;16.618278005474863;115.97136863687437;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;100;sudouest_15_1;organique_sudouest_15;maisT;incorpore;1167.0;9.239233857966672;126.30917432550278;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;100;sudouest_15_1;organique_sudouest_15;maisT;surface;1414.0493111102865;11.195143335085353;126.30917432550278;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;136;sudouest_16_1;mineral_sudouest_16;maisT;incorpore;1167.0;8.44359421333989;138.21128426047247;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;136;sudouest_16_1;mineral_sudouest_16;maisT;surface;1017.9303963053263;7.36503102298752;138.21128426047244;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;295;oceanique_3_1;organique_oceanique_3;CP;incorpore;846.0;7.386429886985119;114.53435732066598;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;295;oceanique_3_1;organique_oceanique_3;CP;surface;1371.5469079584855;11.974982355019604;114.53435732066598;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;115;oceanique_4_1;mineral_oceanique_4;CP;incorpore;846.0;7.726036991830554;109.49986401754913;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;115;oceanique_4_1;mineral_oceanique_4;CP;surface;1619.898358934415;14.793610690464421;109.49986401754911;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;211;sudouest_17_1;organique_sudouest_17;maisT;incorpore;1167.0;10.807279107217033;107.98277609215114;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;211;sudouest_17_1;organique_sudouest_17;maisT;surface;2422.337928823634;22.432632466833795;107.98277609215114;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;206;beauce_9_1;organique_beauce_9;orgeh;incorpore;644.0;6.619085796665979;97.29440285007057;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;206;beauce_9_1;organique_beauce_9;orgeh;surface;1750.498547269323;17.991770297072676;97.29440285007057;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;290;oceanique_5_1;organique_oceanique_5;CP;incorpore;846.0;7.600067344621038;111.31480309825915;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
2020;290;oceanique_5_1;organique_oceanique_5;CP;surface;1526.9753541076027;13.717630643964936;111.31480309825915;aerien post recolte;residus aeriens;labile;0.0;0.0;0.0;0.0
2020;170;sudouest_19_1;organique_sudouest_19;maisT;incorpore;1167.0;9.152794085315909;127.50204900515043;racines post recolte;residus racinaires;labile;0.0;0.0;0.0;0.0
