idParcelle;surface [m2];zone_pedo;matIrr
sudouest_1_1;9979.73592519155;argilo-calcaire;null
beauce_1_1;12911.01724944822;argilo-calcaire;null
sudouest_2_1;14985.33951059263;argilo-calcaire;null
sudouest_3_1;9328.07913632039;limoneux;materielIrrigation(1)
sudouest_4_1;12073.53988591954;limoneux;materielIrrigation(1)
sudouest_5_1;13256.28449179689;limoneux;null
beauce_2_1;13108.171348674221;argilo-calcaire;null
sudouest_6_1;11060.96486042719;limoneux;null
sudouest_7_1;10185.18746327702;argilo-calcaire;materielIrrigation(1)
sudouest_8_1;7712.2994267717;argilo-calcaire;materielIrrigation(1)
sudouest_9_1;10156.05029074661;limono-sableux;null
beauce_3_1;11183.296742700271;limoneux;materielIrrigation(1)
beauce_4_1;14600.409314441029;limoneux;materielIrrigation(1)
beauce_5_1;12011.17460819334;limoneux;null
beauce_6_1;13723.313443675639;limoneux;null
beauce_7_1;10686.56641722471;argilo-calcaire;materielIrrigation(1)
beauce_8_1;7237.90658077598;argilo-calcaire;materielIrrigation(1)
sudouest_10_1;6462.0279585423405;limono-sableux;null
sudouest_11_1;8010.49166753516;limono-sableux;materielIrrigation(1)
oceanique_1_1;9955.30175675731;limoneux;null
oceanique_2_1;9130.44745130837;argilo-calcaire;null
sudouest_12_1;11153.51055552065;limono-sableux;materielIrrigation(1)
sudouest_13_1;8964.76294667553;argilo-calcaire;null
sudouest_14_1;7499.89348460315;argilo-calcaire;null
sudouest_15_1;11137.2923629079;limoneux;materielIrrigation(1)
sudouest_16_1;14031.5485952422;limoneux;materielIrrigation(1)
oceanique_3_1;9585.8062530309;argilo-calcaire;null
oceanique_4_1;5260.879671138709;limoneux;null
sudouest_17_1;9551.23878759146;limoneux;null
beauce_9_1;5626.7366042044;limono-sableux;null
oceanique_5_1;11492.391023248869;limono-sableux;null
sudouest_18_1;9529.37837531231;limoneux;null
sudouest_19_1;10708.44508850947;argilo-calcaire;materielIrrigation(1)
sudouest_20_1;7563.70025457069;argilo-calcaire;materielIrrigation(1)
sudouest_21_1;8947.73519935086;limono-sableux;null
sudouest_22_1;13856.790444222512;limono-sableux;null
sudouest_23_1;14941.09095491841;limono-sableux;materielIrrigation(1)
oceanique_6_1;11260.43073084753;limono-sableux;null
beauce_10_1;9575.28738663881;limono-sableux;null
beauce_11_1;8071.10758194327;limono-sableux;materielIrrigation(1)
beauce_12_1;10022.19853604957;limono-sableux;materielIrrigation(1)
