annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2019;213;281;sudouest_1_1;solnu;;1653.61;5.48;4124.53;11.49;0.0;22.46;0.0;5812.09;0.07
2019;282;365;sudouest_1_1;maisT;mais_tousSols_nonirr_organique;734.82;5.47;212.72;5.09;0.0;72.7;0.0;1025.33;0.07
2019;213;285;beauce_1_1;solnu;;989.64;5.49;4664.08;6.88;0.0;0.0;0.0;5660.61;0.07
2019;286;365;beauce_1_1;orgeh;orgeH_tousSols_nonirr_organique;468.75;5.48;890.02;3.23;0.0;7.46;0.0;1369.46;0.07
2019;213;265;sudouest_2_1;solnu;;1390.48;5.48;3567.37;9.73;0.0;21.51;0.0;4989.09;0.07
2019;266;365;sudouest_2_1;maisT;mais_tousSols_nonirr_mineral;998.49;5.47;769.03;6.85;0.0;64.18;0.0;1838.54;0.07
2019;213;302;sudouest_3_1;solnu;;2220.49;1.7;138.43;15.17;0.0;32.7;0.0;2406.79;0.07
2019;303;365;sudouest_3_1;maisT;mais_tousSols_irr_organique;592.46;1.69;40.24;3.99;0.0;51.84;0.0;688.54;0.07
2019;213;314;sudouest_4_1;solnu;;2381.87;1.69;152.12;16.28;0.0;52.55;0.0;2602.82;0.07
2019;315;365;sudouest_4_1;maisT;mais_tousSols_irr_mineral;431.12;1.69;26.49;2.89;0.0;32.06;0.0;492.55;0.07
2019;213;304;sudouest_5_1;solnu;;2246.65;1.7;144.18;15.34;0.0;41.95;0.0;2448.12;0.07
2019;305;365;sudouest_5_1;maisT;mais_tousSols_nonirr_organique;566.32;1.69;34.49;3.82;0.0;42.6;0.0;647.24;0.07
2019;213;268;beauce_2_1;solnu;;842.3;5.49;4015.15;5.92;0.0;0.0;0.0;4863.37;0.07
2019;269;365;beauce_2_1;orgeh;orgeH_tousSols_nonirr_mineral;616.57;5.48;544.6;4.2;0.0;7.48;0.0;1172.85;0.07
2019;213;272;sudouest_6_1;solnu;;1749.78;1.7;75.0;12.03;0.0;1.74;0.0;1838.55;0.07
2019;273;365;sudouest_6_1;maisT;mais_tousSols_nonirr_mineral;1063.77;1.69;77.14;7.14;0.0;81.53;0.0;1229.58;0.07
2019;213;274;sudouest_7_1;solnu;;1546.27;5.48;3979.91;10.78;0.0;22.46;0.0;5559.42;0.07
2019;275;365;sudouest_7_1;maisT;mais_tousSols_irr_organique;842.32;5.47;357.28;5.79;0.0;71.31;0.0;1276.7;0.07
2019;213;285;sudouest_8_1;solnu;;1702.95;5.48;4253.49;11.85;0.0;22.46;0.0;5990.74;0.07
2019;286;365;sudouest_8_1;maisT;mais_tousSols_irr_mineral;685.43;5.47;83.77;4.72;0.0;73.3;0.0;847.21;0.07
2019;213;315;sudouest_9_1;solnu;;1909.11;3.07;6989.75;13.28;0.0;50.71;0.0;8962.86;0.07
2019;316;365;sudouest_9_1;maisT;mais_tousSols_nonirr_organique;327.87;3.07;744.73;2.24;0.0;21.9;0.0;1096.74;0.07
2019;213;287;beauce_3_1;solnu;;832.73;1.71;0.0;5.68;0.0;0.0;0.0;838.41;0.07
2019;288;365;beauce_3_1;orgeh;orgeH_tousSols_irr_organique;526.07;1.71;30.11;3.58;0.0;0.96;0.0;560.72;0.07
2019;213;276;beauce_4_1;solnu;;779.73;1.71;0.0;5.32;0.0;0.0;0.0;785.05;0.07
2019;277;365;beauce_4_1;orgeh;orgeH_tousSols_irr_mineral;578.49;1.71;25.26;3.93;0.0;1.03;0.0;608.72;0.07
2019;213;277;beauce_5_1;solnu;;782.72;1.71;0.0;5.37;0.0;0.0;0.0;788.09;0.07
2019;278;365;beauce_5_1;orgeh;orgeH_tousSols_nonirr_organique;574.98;1.71;25.54;3.88;0.0;1.01;0.0;605.4;0.07
2019;213;266;beauce_6_1;solnu;;697.17;1.71;0.0;4.79;0.0;0.0;0.0;701.96;0.07
2019;267;365;beauce_6_1;orgeh;orgeH_tousSols_nonirr_mineral;661.66;1.71;14.03;4.47;0.0;1.21;0.0;681.37;0.07
2019;213;319;beauce_7_1;solnu;;1221.09;5.49;5768.9;8.54;0.0;0.88;0.0;6999.4;0.07
2019;320;365;beauce_7_1;orgeh;orgeH_tousSols_irr_organique;237.15;5.48;255.87;1.58;0.0;6.53;0.0;501.12;0.07
2019;213;278;beauce_8_1;solnu;;943.92;5.49;4458.52;6.57;0.0;0.0;0.0;5409.01;0.07
2019;279;365;beauce_8_1;orgeh;orgeH_tousSols_irr_mineral;514.63;5.48;699.17;3.54;0.0;7.48;0.0;1224.81;0.07
2019;213;283;sudouest_10_1;solnu;;1566.83;3.08;5665.33;10.9;0.0;8.15;0.0;7251.22;0.07
2019;284;365;sudouest_10_1;maisT;mais_tousSols_nonirr_mineral;670.34;3.07;1528.8;4.62;0.0;64.61;0.0;2268.37;0.07
2019;213;279;sudouest_11_1;solnu;;1511.63;3.08;5377.37;10.53;0.0;8.15;0.0;6907.7;0.07
2019;280;365;sudouest_11_1;maisT;mais_tousSols_irr_organique;725.62;3.07;1696.85;4.99;0.0;64.19;0.0;2491.66;0.07
2019;213;282;oceanique_1_1;solnu;;819.48;1.71;0.0;5.66;0.0;0.0;0.0;825.13;0.07
2019;283;365;oceanique_1_1;CP;ble_tousSols_nonirr_organique;664.73;1.7;42.16;4.5;0.0;18.97;0.0;730.36;0.07
2019;213;296;oceanique_2_1;solnu;;1072.1;5.49;5923.49;7.5;0.0;0.0;0.0;7003.09;0.07
2019;297;365;oceanique_2_1;CP;ble_tousSols_nonirr_mineral;469.41;5.48;280.21;3.22;0.0;50.22;0.0;803.06;0.07
2019;213;314;sudouest_12_1;solnu;;1898.2;3.07;6962.14;13.21;0.0;50.71;0.0;8924.27;0.07
2019;315;365;sudouest_12_1;maisT;mais_tousSols_irr_mineral;338.78;3.07;772.26;2.31;0.0;21.91;0.0;1135.26;0.07
2019;213;285;sudouest_13_1;solnu;;1702.95;5.48;4253.49;11.85;0.0;22.46;0.0;5990.74;0.07
2019;286;365;sudouest_13_1;maisT;mais_tousSols_nonirr_organique;685.43;5.47;83.77;4.72;0.0;73.3;0.0;847.21;0.07
2019;213;282;sudouest_14_1;solnu;;1659.85;5.48;4124.53;11.62;0.0;22.46;0.0;5818.47;0.07
2019;283;365;sudouest_14_1;maisT;mais_tousSols_nonirr_mineral;728.57;5.47;212.72;4.95;0.0;73.09;0.0;1019.33;0.07
2019;213;308;sudouest_15_1;solnu;;2307.88;1.7;149.29;15.74;0.0;52.19;0.0;2525.1;0.07
2019;309;365;sudouest_15_1;maisT;mais_tousSols_irr_organique;505.13;1.69;29.36;3.43;0.0;32.47;0.0;570.38;0.07
2019;213;278;sudouest_16_1;solnu;;1875.48;1.7;84.46;12.85;0.0;3.29;0.0;1976.08;0.07
2019;279;365;sudouest_16_1;maisT;mais_tousSols_irr_mineral;938.26;1.69;76.07;6.33;0.0;81.18;0.0;1101.83;0.07
2019;213;306;oceanique_3_1;solnu;;1146.28;5.49;6203.72;7.97;0.0;0.01;0.0;7357.98;0.07
2019;307;365;oceanique_3_1;CP;ble_tousSols_nonirr_organique;395.22;5.48;0.0;2.75;0.0;51.2;0.0;449.17;0.07
2019;213;317;oceanique_4_1;solnu;;1121.34;1.71;30.74;7.74;0.0;0.0;0.0;1159.82;0.07
2019;318;365;oceanique_4_1;CP;ble_tousSols_nonirr_mineral;365.57;1.7;36.63;2.44;0.0;25.23;0.0;429.87;0.07
2019;213;264;sudouest_17_1;solnu;;1599.63;1.7;71.97;10.98;0.0;1.68;0.0;1684.27;0.07
2019;265;365;sudouest_17_1;maisT;mais_tousSols_nonirr_organique;1214.36;1.69;68.4;8.19;0.0;76.13;0.0;1367.08;0.07
2019;213;297;beauce_9_1;solnu;;893.64;3.09;334.87;6.24;0.0;0.0;0.0;1234.75;0.07
2019;298;365;beauce_9_1;orgeh;orgeH_tousSols_nonirr_organique;363.41;3.08;2431.51;2.48;0.0;3.12;0.0;2800.51;0.07
2019;213;270;oceanique_5_1;solnu;;707.28;3.09;479.16;4.95;0.0;0.0;0.0;1191.39;0.07
2019;271;365;oceanique_5_1;CP;ble_tousSols_nonirr_organique;637.34;3.08;168.07;4.4;0.0;19.19;0.0;829.01;0.07
2019;213;297;sudouest_18_1;solnu;;2153.47;1.7;112.75;14.72;0.0;11.7;0.0;2292.64;0.07
2019;298;365;sudouest_18_1;maisT;mais_tousSols_nonirr_mineral;659.55;1.69;65.84;4.45;0.0;72.93;0.0;802.77;0.07
2019;213;307;sudouest_19_1;solnu;;1949.58;5.47;4337.26;13.62;0.0;76.29;0.0;6376.74;0.07
2019;308;365;sudouest_19_1;maisT;mais_tousSols_irr_organique;438.65;5.47;0.0;2.95;0.0;19.3;0.0;460.9;0.07
2019;213;303;sudouest_20_1;solnu;;1906.6;5.47;4337.26;13.27;0.0;57.6;0.0;6314.72;0.07
2019;304;365;sudouest_20_1;maisT;mais_tousSols_irr_mineral;481.64;5.47;0.0;3.3;0.0;38.02;0.0;522.96;0.07
2019;213;306;sudouest_21_1;solnu;;1815.61;3.08;6748.48;12.61;0.0;50.5;0.0;8627.2;0.07
2019;307;365;sudouest_21_1;maisT;mais_tousSols_nonirr_organique;421.38;3.07;985.74;2.91;0.0;22.15;0.0;1432.18;0.07
