annee;jourDebut;jourFin;parcelle;couvert;itk;evaporation[mm];transpiration[mm];percolation[mm];capilarite[mm];ruissellement[mm];Hr_debut[mm];Hm_debut[mm];Hr_fin[mm];Hm_fin[mm];Hr_1erJanv[mm];Hm_1erJanv[mm];satisfactionHydrique[%];pluie[mm];irrigation[mm];sommeDegresJourCulture[°C]
2019;213;267;sudouest_1_1;solnu;;125.4;0.0;51.72;0.69;0.0;45.23;81.7;41.28;86.86;-1.0;-1.0;0.0;198.44;0.0;0.0
2019;268;365;sudouest_1_1;maisT;mais_tousSols_nonirr_organique;79.34;1.55;232.46;0.55;0.0;56.3;101.89;56.54;102.12;-1.0;-1.0;98.97;313.99;0.0;544.39
2019;213;319;beauce_1_1;solnu;;119.26;0.0;14.86;0.37;0.0;45.23;81.7;56.04;101.62;-1.0;-1.0;0.0;156.06;0.0;0.0
2019;320;365;beauce_1_1;orgeh;orgeH_tousSols_nonirr_organique;17.44;0.0;43.11;0.02;0.0;56.54;102.12;56.54;102.12;-1.0;-1.0;97.82;59.84;0.0;255.57
2019;213;277;sudouest_2_1;solnu;;144.03;0.0;59.7;0.8;0.0;45.23;81.7;53.81;99.39;-1.0;-1.0;0.0;221.42;0.0;0.0
2019;278;365;sudouest_2_1;maisT;mais_tousSols_nonirr_mineral;64.08;0.54;222.13;0.49;0.0;52.05;97.63;56.54;102.12;-1.0;-1.0;98.86;291.01;0.0;436.82
2019;213;264;sudouest_3_1;solnu;;114.32;0.0;14.15;3.32;0.0;45.53;248.32;48.65;302.14;-1.0;-1.0;0.0;182.29;0.0;0.0
2019;265;365;sudouest_3_1;maisT;mais_tousSols_irr_organique;75.39;2.72;242.24;5.17;0.0;46.82;300.3;58.28;310.4;-1.0;-1.0;99.01;330.14;0.0;576.42
2019;213;296;sudouest_4_1;solnu;;155.57;0.0;54.45;7.72;0.0;45.53;248.32;54.8;308.29;-1.0;-1.0;0.0;280.4;0.0;0.0
2019;297;365;sudouest_4_1;maisT;mais_tousSols_irr_mineral;41.37;0.11;197.32;3.55;0.0;56.91;310.4;56.91;310.4;-1.0;-1.0;98.55;232.03;0.0;284.18
2019;213;280;sudouest_5_1;solnu;;140.39;0.0;26.29;5.61;0.0;45.53;248.32;49.57;303.06;-1.0;-1.0;0.0;221.42;0.0;0.0
2019;281;365;sudouest_5_1;maisT;mais_tousSols_nonirr_organique;54.58;0.6;226.95;5.65;0.0;48.89;302.37;56.91;310.4;-1.0;-1.0;98.82;291.01;0.0;406.75
2019;213;314;beauce_2_1;solnu;;116.58;0.0;13.2;0.36;0.0;45.23;81.7;56.54;102.12;-1.0;-1.0;0.0;150.51;0.0;0.0
2019;315;365;beauce_2_1;orgeh;orgeH_tousSols_nonirr_mineral;20.11;0.0;44.78;0.03;0.0;56.36;101.94;56.54;102.12;-1.0;-1.0;98.04;65.4;0.0;308.01
